task,target,model,criterion,best_threshold,precision,recall,f1,threshold
picnicScene,PhonemicFluencyScore,full,max_f1,0.23673241467952824,0.21942446043165467,0.4236111111111111,0.2890995260663507,
picnicScene,PhonemicFluencyScore,full,recall>=0.80,,0.15364238410596026,0.8055555555555556,,0.14157092910251193
