target,task,model,metric,estimate,ci_low,ci_high,n_subjects,n_boot
PictureNamingScore,cookieTheft,acoustic,r2,0.11399624497215688,0.036421796869513884,0.174291706859095,959,1000
PictureNamingScore,cookieTheft,acoustic,rmse,2.5734796775094044,2.3851939709100884,2.779948923706939,959,1000
PictureNamingScore,cookieTheft,acoustic,mae,1.8792871694197693,1.7746117099347145,1.9895980586374489,959,1000
PictureNamingScore,cookieTheft,baseline,r2,-0.0036655382345298637,-0.010388871073500143,-0.0015880589662458646,959,1000
PictureNamingScore,cookieTheft,baseline,rmse,2.7390342824492784,2.482720148803154,2.982084212012255,959,1000
PictureNamingScore,cookieTheft,baseline,mae,1.9337835046025418,1.8107850508800187,2.0672189835821215,959,1000
PictureNamingScore,cookieTheft,demographics,r2,0.02335702854513333,-0.041528831314226355,0.08621837459146774,959,1000
PictureNamingScore,cookieTheft,demographics,rmse,2.701909984892585,2.482522401996112,2.9278080663630783,959,1000
PictureNamingScore,cookieTheft,demographics,mae,1.947581340880379,1.829211327166166,2.071515329792365,959,1000
PictureNamingScore,cookieTheft,full,r2,0.21936380860839522,0.14289562060394345,0.28869430946445823,959,1000
PictureNamingScore,cookieTheft,full,rmse,2.415612691653525,2.2287727535738706,2.629777238064937,959,1000
PictureNamingScore,cookieTheft,full,mae,1.7499279437752544,1.6510205164966436,1.8581291283363193,959,1000
PictureNamingScore,cookieTheft,linguistic,r2,0.20873316831573907,0.13432126270538036,0.28113687845071034,959,1000
PictureNamingScore,cookieTheft,linguistic,rmse,2.43200488226758,2.2272731559673558,2.63833793142606,959,1000
PictureNamingScore,cookieTheft,linguistic,mae,1.7510295497595068,1.6415085547174835,1.856489456088862,959,1000
PictureNamingScore,cookieTheft,linguistic+acoustic,r2,0.2212896757780447,0.14905900515027426,0.2897210094300478,959,1000
PictureNamingScore,cookieTheft,linguistic+acoustic,rmse,2.4126311350445,2.2168723160152153,2.6170805196742477,959,1000
PictureNamingScore,cookieTheft,linguistic+acoustic,mae,1.7464271262707638,1.6480175687738858,1.8614296238365826,959,1000
PictureNamingScore,journaling,acoustic,r2,0.027226892635612288,-0.03308348124123786,0.07974293739089931,959,1000
PictureNamingScore,journaling,acoustic,rmse,2.6965516282160777,2.4777270474043234,2.9270323647252567,959,1000
PictureNamingScore,journaling,acoustic,mae,1.9312990808970971,1.8177541815742742,2.050609058639769,959,1000
PictureNamingScore,journaling,baseline,r2,-0.0036655382345298637,-0.00953614472655812,-0.0018297293727262195,959,1000
PictureNamingScore,journaling,baseline,rmse,2.7390342824492784,2.503827944388562,2.986312078921697,959,1000
PictureNamingScore,journaling,baseline,mae,1.9337835046025418,1.8129959671635294,2.060607865433519,959,1000
PictureNamingScore,journaling,demographics,r2,0.02335702854513333,-0.041122647346560806,0.08431001957475437,959,1000
PictureNamingScore,journaling,demographics,rmse,2.701909984892585,2.5006217693158526,2.926921491713673,959,1000
PictureNamingScore,journaling,demographics,mae,1.947581340880379,1.8336131255873804,2.073421503889864,959,1000
