target,task,model,r2_oof,r2_ci_low,r2_ci_high,n_subjects,n_boot
PhonemicFluencyScore,cookieTheft,acoustic,0.04038102988675063,0.007563999176051388,0.07105328529006094,970,1000
PhonemicFluencyScore,cookieTheft,baseline,-0.0007135943344644957,-0.00612061797229924,0.0001604462964726577,970,1000
PhonemicFluencyScore,cookieTheft,demographics,-0.006393679979848299,-0.03994774008003579,0.030708156901572935,970,1000
PhonemicFluencyScore,cookieTheft,full,0.054591907694804265,0.02486876016901151,0.07842130947358332,970,1000
PhonemicFluencyScore,cookieTheft,linguistic,0.018546686638019172,-0.008513499876126717,0.04467126015450699,970,1000
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,0.04972519632141381,0.01876817571279451,0.0766620610008733,970,1000
PhonemicFluencyScore,journaling,acoustic,0.010740379668472744,-0.019674689104026515,0.036373434975806196,970,1000
PhonemicFluencyScore,journaling,baseline,-0.0007135943344644957,-0.006185444537117368,7.06280418456273e-05,970,1000
PhonemicFluencyScore,journaling,demographics,-0.006393679979848299,-0.04320563230859296,0.027548121524684034,970,1000
PhonemicFluencyScore,journaling,full,0.03781727796795431,0.011043368480548535,0.06284766540382943,970,1000
PhonemicFluencyScore,journaling,linguistic,0.010708295508918164,-0.01260778969996572,0.030691733114411385,970,1000
PhonemicFluencyScore,journaling,linguistic+acoustic,0.03201335953207751,0.0050405719973879975,0.05523195077116308,970,1000
PhonemicFluencyScore,picnicScene,acoustic,0.04396795778971152,0.010386405488006258,0.0728512435169767,970,1000
PhonemicFluencyScore,picnicScene,baseline,-0.0007135943344644957,-0.006128805479426377,9.173503773901805e-05,970,1000
PhonemicFluencyScore,picnicScene,demographics,-0.006393679979848299,-0.042368033426480274,0.023649881635004838,970,1000
PhonemicFluencyScore,picnicScene,full,0.0551159660525673,0.025152409673212004,0.08139893586815695,970,1000
PhonemicFluencyScore,picnicScene,linguistic,0.020409130657629837,-0.007851666505026042,0.04588809629835091,970,1000
PhonemicFluencyScore,picnicScene,linguistic+acoustic,0.048281899091822345,0.018565079344790607,0.07467409027596716,970,1000
