target,task,model,r2_oof,r2_ci_low,r2_ci_high,n_subjects,n_boot
SemanticFluencyScore,cookieTheft,acoustic,0.09862036467323354,0.05956919315308348,0.13183446945500019,970,1000
SemanticFluencyScore,cookieTheft,baseline,-0.002472695525000068,-0.00800621179771272,-0.0006989217204113054,970,1000
SemanticFluencyScore,cookieTheft,demographics,0.03613122329188245,-0.008060887876976338,0.07598072110480235,970,1000
SemanticFluencyScore,cookieTheft,full,0.1642014568442225,0.1291179755466048,0.19839089296619417,970,1000
SemanticFluencyScore,cookieTheft,linguistic,0.13328363480231786,0.09442062773907133,0.17160283822898087,970,1000
SemanticFluencyScore,cookieTheft,linguistic+acoustic,0.15813210421405433,0.12373270637739309,0.1922866032013964,970,1000
SemanticFluencyScore,journaling,acoustic,0.10081963115282333,0.05640831106839063,0.13790604981742058,970,1000
SemanticFluencyScore,journaling,baseline,-0.002472695525000068,-0.008045799630062597,-0.0007822001888705857,970,1000
SemanticFluencyScore,journaling,demographics,0.03613122329188245,-0.005241668090892833,0.07745210288919652,970,1000
SemanticFluencyScore,journaling,full,0.164857663393569,0.12510729044048913,0.19938178016184996,970,1000
SemanticFluencyScore,journaling,linguistic,0.08308570975720364,0.04570109155808646,0.11662220720972243,970,1000
SemanticFluencyScore,journaling,linguistic+acoustic,0.1560886428405457,0.11824560136876384,0.19267041672629345,970,1000
SemanticFluencyScore,picnicScene,acoustic,0.10563475595772764,0.06637225456779446,0.1414099487225131,970,1000
SemanticFluencyScore,picnicScene,baseline,-0.002472695525000068,-0.008637954934902058,-0.0005845446612319285,970,1000
SemanticFluencyScore,picnicScene,demographics,0.03613122329188245,-0.009564408850406526,0.08047343461253371,970,1000
SemanticFluencyScore,picnicScene,full,0.18564560708873246,0.1485173832362546,0.22134246654392087,970,1000
SemanticFluencyScore,picnicScene,linguistic,0.14366468455758996,0.10610418663744066,0.17816422133400578,970,1000
SemanticFluencyScore,picnicScene,linguistic+acoustic,0.17755945605655832,0.14068930632603788,0.213282674646301,970,1000
