target,model,threshold_type,auroc_mean,auroc_ci_low,auroc_ci_high,auprc_mean,auprc_ci_low,auprc_ci_high,sensitivity_mean,sensitivity_ci_low,sensitivity_ci_high,specificity_mean,specificity_ci_low,specificity_ci_high,accuracy_mean,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_ci_low,precision_ci_high,f1_mean,f1_ci_low,f1_ci_high,mcc_mean,mcc_ci_low,mcc_ci_high,threshold,task
SemanticFluencyScore,demographics,baseline_0.50,0.5298449960504108,0.47896527331456024,0.5789451066515517,0.23118345769311316,0.17919026406090796,0.28799344557046624,0.22398888376656784,0.16539003759398496,0.285735171261487,0.821482128256904,0.7962448624845488,0.847731693138806,0.7214655172413793,0.6937119675456389,0.7495182555780933,0.20147384818865674,0.1460643789857273,0.26163482834994467,0.21166020375962807,0.155336907694537,0.2678089304257529,0.04358924400247552,-0.02108506586198622,0.11056236750462768,0.5,picnicScene
SemanticFluencyScore,demographics,max_f1,,,,,,,0.7224083068627567,0.09079685746352424,1.0,0.3109354466457505,0.017897162158671116,0.9487226277372263,0.3882848522339172,0.18594592166726553,0.7988373415537149,0.19223429550139975,0.12579923830979872,0.41381412952060553,0.27194530348482093,0.2218303240495605,0.3310628199658703,0.0493431344431481,-0.05724723811270278,0.1357702857107579,,picnicScene
SemanticFluencyScore,demographics,recall>=0.80,,,,,,,0.8841976781807184,0.7727128883774453,0.9615506329113924,0.18400169798555896,0.10335613072323704,0.27820262682021507,0.31463066903775555,0.24899986850552666,0.38524030994806363,0.14649659124878422,0.11214899805385059,0.18278619937781232,0.32456050555658494,0.2727272727272727,0.3802844518088926,0.07084685548897529,-0.015016365731112792,0.14739884973169365,,picnicScene
SemanticFluencyScore,acoustic,baseline_0.50,0.6519099527223727,0.6039650439203714,0.6990927930753966,0.3379321783694011,0.2687003164339508,0.4101676712036963,0.12140105936976892,0.07253459912735205,0.1739256825075834,0.9746888412177835,0.9636240786240786,0.9840495684470106,0.8318407707910751,0.80829107505071,0.8560091277890466,0.49034115376998794,0.34283834586466166,0.6428571428571429,0.1938213885315533,0.12218174204355112,0.26886760752688166,0.17941810879974132,0.09628222648337441,0.26348814656877356,0.5,picnicScene
SemanticFluencyScore,acoustic,max_f1,,,,,,,0.407811111403787,0.21333333333333335,0.6666666666666666,0.7943439750320722,0.524372519705616,0.949461036392405,0.7221233229817676,0.5470212513380175,0.8109281471524259,0.3015998615735032,0.2022358542852824,0.4318560606060606,0.3712420181527309,0.29229166666666667,0.4520692141312184,0.19186110029496528,0.08441923976945814,0.30771009614921574,,picnicScene
SemanticFluencyScore,acoustic,recall>=0.80,,,,,,,0.7631832550239972,0.6323335913312693,0.8902917264466762,0.3553829167070951,0.1867021276595745,0.5304234268516277,0.4314939304550071,0.3139457916923223,0.5565199144173797,0.18831655894287666,0.13903710708230077,0.25,0.3341429981208946,0.27250146637122,0.4,0.09813458580468706,-0.0011402536317803912,0.19826138877497282,,picnicScene
SemanticFluencyScore,linguistic,baseline_0.50,0.6940369501190318,0.649360226413359,0.7378722558551948,0.3652660356420137,0.2928009081515254,0.4353703094634197,0.1389775327944199,0.08973214285714287,0.19375473484848485,0.9794905275069874,0.9692477966703218,0.9890380922321896,0.8387860040567952,0.8164300202839757,0.8620689655172413,0.5772153049282552,0.4192368214004722,0.7335714285714283,0.22313979158345512,0.15053006209298805,0.29958222167069964,0.22428066628401472,0.13924906554453714,0.308560891362754,0.5,picnicScene
SemanticFluencyScore,linguistic,max_f1,,,,,,,0.4633073561953796,0.14453528399311535,0.8383919843597263,0.768231653262386,0.5104684914412826,0.9759640957446808,0.7114672032409143,0.5658937438362124,0.8227461013645223,0.3304305091465279,0.2038729878535704,0.5760695187165773,0.37890939530310996,0.3033103547321557,0.465535752062619,0.21519537668597108,0.10128484430101169,0.3223254906661234,,picnicScene
SemanticFluencyScore,linguistic,recall>=0.80,,,,,,,0.8750857812151149,0.771078062248996,0.9578947368421052,0.3719343342084839,0.2051056338028169,0.5485800970873785,0.4656645231862608,0.33189761199389534,0.6012292074363992,0.19324852094918013,0.14238567609399186,0.2556997332039776,0.3808627670379064,0.3090656565656566,0.4631267175572519,0.20616199860353743,0.10057504651003345,0.3136318405538214,,picnicScene
SemanticFluencyScore,linguistic+acoustic,baseline_0.50,0.7041336658788141,0.6543423779395574,0.7462069120364008,0.3875530973368833,0.30934817404129394,0.4615241042498865,0.14591103069689335,0.09933774834437085,0.20136824864173855,0.9805988565295197,0.9702377259836937,0.9902334720295886,0.8408590263691684,0.8174442190669371,0.8630831643002028,0.6026272234247901,0.45712732919254656,0.7631965944272446,0.2340541764246475,0.16407608695652176,0.31306492493663485,0.23890784550444658,0.159201577092557,0.3270322276503309,0.5,picnicScene
SemanticFluencyScore,linguistic+acoustic,max_f1,,,,,,,0.3862641702334403,0.13091386554621853,0.7386600378787879,0.8530595026579543,0.5547698504027618,0.9625962773718385,0.7659914078213849,0.5832883104125738,0.8298843242871747,0.38173022999688616,0.23503401360544218,0.5660658969304421,0.40962682224776553,0.31817599067599067,0.5037127371273712,0.24413424565863343,0.10805597506421236,0.36448856578499655,,picnicScene
SemanticFluencyScore,linguistic+acoustic,recall>=0.80,,,,,,,0.8682389077766736,0.6999528301886793,0.9677505147563487,0.3666855309099996,0.16128300782678662,0.574688436372531,0.4601519866890318,0.30145432999824945,0.6078038813061158,0.19831334937532613,0.13583958826460696,0.26965686741090245,0.3768465799514879,0.3052192274251646,0.4504795117698343,0.19779475449753403,0.07813153290674837,0.28739163991538397,,picnicScene
