score,PictureNamingScore,PictureNamingScore,PictureNamingScore,SemanticFluencyScore,SemanticFluencyScore,SemanticFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore,PhonemicFluencyScore
task,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling,picnicScene,cookieTheft,journaling
phonation_rate,0.336635914274568,0.3118477400684433,0.2540663454162083,0.29940313114948336,0.2980863695518678,0.29816574397879864,0.18398308167949826,0.17983387791944713,0.17187131871639358
pause_word_ratio,,-0.34413960095942714,-0.2570084676305385,,-0.26811952137517603,-0.27862039993417825,,-0.16281936917914736,-0.16894327639994758
guirauds_statistic,0.3789268773673865,0.32208787845730213,0.24936975534175143,0.2941214726105059,0.29436201627934183,0.2143506913303617,0.15103640681151975,0.12844259238736466,0.09255386098629657
speech_rate_phonemes,0.25336043415805437,0.18478465167861877,0.20252584309515195,0.2911041045299592,0.2125021639679034,0.30698316505179113,0.21101110238389975,0.13306213368137593,0.1987337045063023
pause_rate,-0.23797228872312445,-0.2191804244805397,-0.21917738525449526,-0.2678501781143046,-0.25809047570698695,-0.24631147359023642,-0.15098943975390505,-0.15368651448933407,-0.11417879109617797
aoa_content,0.33673202022751,0.22183316454693072,0.16589866553513913,0.23101547894945512,0.20340460694354484,0.07231123440724332,0.14055100016454367,0.14195719061219636,0.08756238575472
eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,-0.200776024201365,-0.23156119022496682,-0.17023544993688555,-0.14880174547380298,-0.17686960813239047,-0.1925157650518363,-0.10523009647005797,-0.11346687681238656,-0.11476417240004523
total_pause_duration,-0.11041520142207918,-0.14658440378815765,-0.15944563393833533,-0.18167030081364474,-0.19232888552621105,-0.23045180871112303,-0.11640970277771046,-0.1306354230300472,-0.15935054254585246
VERB,-0.2870749076902803,-0.19055442918751858,-0.08112572134546579,-0.19102334768256585,-0.1727058553830635,-0.12071974432446934,-0.11096975840222065,-0.12340838252348475,0.005592544129750423
brunets_index,0.22103369655805213,0.23137743818312892,0.09156887494708214,0.115703354274802,0.17014033558517944,0.12417275871380538,0.0818879348853832,0.09105435056252298,0.07054132039196091
aoa_nouns,0.30613353442270186,0.17545496370450783,0.14713486631396985,0.19772818362055603,0.11024945332658274,0.04679738562179102,0.09564018530543177,0.04205863029364052,0.0586958729358666
mattr_30,0.21968996110456357,0.221878239773915,0.16854579969596944,0.1632689799709806,0.15235734555143088,0.10751878968167028,0.07148372281508002,0.06410664601513492,0.00692635659419735
eGeMAPS_loudness_sma3_amean,0.19101751358743987,0.20870916314639507,0.15416979887001014,0.131423723387953,0.15190587327146296,0.15207838360786258,0.06457717420642735,0.06296857883757072,0.056556049784688006
ADP,0.2324117370025081,0.24926273510790622,0.05496128057539897,0.15702182870411455,0.15695000740755238,0.11390910998390445,0.08893498752256307,0.08929405106288683,0.007418457193782292
avg_pause_duration,-0.2348931320266758,-0.1716053120035459,-0.0711571408152047,-0.15528545854810813,-0.15785155832496914,-0.06487873255635572,-0.10273315732717916,-0.09653064179820314,-0.06647950423104143
aoa_verbs,0.1484050842887109,0.15560727557903697,0.08463309170266212,0.11328583412689171,0.14360945014272297,0.04891963994735057,0.12029614672801123,0.16237747737190186,0.07942984357154938
mattr_10,0.1874376659994562,0.21278583628377426,0.1599279620052021,0.13567522450262295,0.10646222894482404,0.11554233740800214,0.06369681298202227,0.02274893578311044,0.015046492068744139
freq_content,-0.18397352859270222,-0.10145673758541686,-0.12181606212659296,-0.12908841979506966,-0.07501596392200763,-0.1328410518633209,-0.03904390479439632,-0.12195625339088342,-0.0670768575025183
total_speech_duration,0.22631773435358965,,0.14205687321917973,0.11183032992568198,,0.09383047868384961,0.03526937872588754,,0.01484801821273649
n_words,0.20598593469052087,0.10248085838190328,0.14218591737351602,0.12407633106133038,0.09148300432846111,0.11181790749416255,0.05459742468295285,0.04644036463195641,0.041780661457324716
n_pauses,-0.015132612693301403,-0.042642010801581136,-0.10445586379901074,-0.14019637230990267,-0.12866913544342448,-0.1714400434269286,-0.0915222638707603,-0.0961925237478124,-0.11008211284702797
article_pause_contentword,0.16778398124516253,0.1538202393257792,,0.07997125676408404,0.06799640973465744,,0.048739200510265354,0.06658925740091627,
content_density,-0.15853443180732116,-0.2156810568447474,0.022419276609336868,-0.07267185038699042,-0.13284109916828074,-0.004420898268472705,-0.0662120437041469,-0.08498224531520698,-0.0014082208682439706
avg_word_length,0.17031887441305804,0.07813413547541977,0.081813087877454,0.12167520091604218,0.11658986723300024,0.044494770545255004,0.04005705910325314,0.02281583804354448,0.0058624778949760295
noun_verb_ratio,0.05619084007575465,0.031953296698759445,0.08109281446008691,0.1099290153062554,0.09895110929400563,0.16225496963518185,0.041032629683596736,0.08673909088568156,0.0074481448058243555
freq_nouns,-0.13223678208683268,-0.12588987118249287,-0.13368716595163088,-0.062235451548829944,-0.010669775797569836,-0.06580744912122578,-0.06461446561598803,-0.0665142867604653,0.009765891627029977
eGeMAPS_loudness_sma3_percentile20.0,0.020067120859723373,0.03709370519177881,0.02043922635383389,0.10994351886078994,0.10476581029441417,0.09175291360653913,0.09354420161578067,0.10570577851675994,0.08054233677200574
ADJ,0.11982071211214525,0.11002273103431935,-0.041466056613942634,0.09381835944885608,0.10411563961678594,-0.04075990277365555,0.05321156484231971,0.03730615022860349,-0.028369950154098884
information_words_ratio,-0.1698626980128926,-0.12131594370022444,-0.01739782543099747,-0.06726122504502101,-0.07815792659456024,0.04191796117703865,-0.06496282821985268,-0.037613306817912535,0.02581341300612182
