target,task,model,r2_oof,r2_mean,r2_ci_low,r2_ci_high,n_subjects,n_boot
PhonemicFluencyScore,cookieTheft,acoustic,0.012159437399833939,0.012081733085581813,-0.056705590888309586,0.06035776846346698,970,1000
PhonemicFluencyScore,cookieTheft,baseline,-0.001162473452021251,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970,1000
PhonemicFluencyScore,cookieTheft,demographics,0.01550587980939322,0.014058544285305927,-0.004320524814762099,0.03129158435557278,970,1000
PhonemicFluencyScore,cookieTheft,full,0.004473876302373947,0.003594289473713485,-0.05975305683107004,0.06592319806561939,970,1000
PhonemicFluencyScore,cookieTheft,linguistic,-0.002667149223901877,-0.0031321461892949605,-0.043969379627686926,0.03688496410657056,970,1000
PhonemicFluencyScore,cookieTheft,linguistic+acoustic,0.008335964463477619,0.007757674102822467,-0.05345317429573322,0.06925386657130382,970,1000
PhonemicFluencyScore,journaling,acoustic,0.039723933761833585,0.03860013585793775,0.008261996612852958,0.07012382504513773,970,1000
PhonemicFluencyScore,journaling,baseline,-0.001162473452021251,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970,1000
PhonemicFluencyScore,journaling,demographics,0.01550587980939322,0.014058544285305927,-0.004320524814762099,0.03129158435557278,970,1000
PhonemicFluencyScore,journaling,full,0.010435853422985253,0.009721638950960345,-0.035879921435870064,0.056049309420909244,970,1000
PhonemicFluencyScore,journaling,linguistic,-0.029817860013146014,-0.030212006773285154,-0.06684215541884281,0.0038842185002910313,970,1000
PhonemicFluencyScore,journaling,linguistic+acoustic,0.007573697132850277,0.007039735117312297,-0.03931590100088624,0.05227473386287658,970,1000
PhonemicFluencyScore,picnicScene,acoustic,0.03577822467959546,0.034825391177167174,-6.581425319796082e-05,0.06539230218093628,970,1000
PhonemicFluencyScore,picnicScene,baseline,-0.001162473452021251,-0.002177887105586847,-0.006090242989277416,-0.00015999045774508513,970,1000
PhonemicFluencyScore,picnicScene,demographics,0.01550587980939322,0.014058544285305927,-0.004320524814762099,0.03129158435557278,970,1000
PhonemicFluencyScore,picnicScene,full,-0.01235042730310365,-0.013027495201894048,-0.09307127306324267,0.04884036182465358,970,1000
PhonemicFluencyScore,picnicScene,linguistic,-0.022265373183893544,-0.022465212021188292,-0.0730481220053987,0.01896342816106267,970,1000
PhonemicFluencyScore,picnicScene,linguistic+acoustic,-0.012371973580148854,-0.012945346553742286,-0.09149438883911847,0.04734502188130038,970,1000
