target,task,model,r2_oof,r2_mean,r2_ci_low,r2_ci_high,n_subjects,n_boot
SemanticFluencyScore,cookieTheft,acoustic,-0.02933877387041295,-0.04319101003074132,-0.32472548138188234,0.1242770261856934,970,1000
SemanticFluencyScore,cookieTheft,baseline,-0.004357116894370794,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970,1000
SemanticFluencyScore,cookieTheft,demographics,0.08472584887595036,0.08408593812210571,0.04933894292477809,0.11861295275514772,970,1000
SemanticFluencyScore,cookieTheft,full,0.16852810751763747,0.16744379998755857,0.10970615968155507,0.22163276729918874,970,1000
SemanticFluencyScore,cookieTheft,linguistic,0.1084652880835717,0.10758397902717287,0.05837460863048229,0.15419905356388344,970,1000
SemanticFluencyScore,cookieTheft,linguistic+acoustic,0.1304964666569004,0.12933824373770508,0.07624699239969171,0.18059897726257645,970,1000
SemanticFluencyScore,journaling,acoustic,0.11674631269031499,0.11575768301384136,0.07048537631982493,0.15788794394965178,970,1000
SemanticFluencyScore,journaling,baseline,-0.004357116894370794,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970,1000
SemanticFluencyScore,journaling,demographics,0.08472584887595036,0.08408593812210571,0.04933894292477809,0.11861295275514772,970,1000
SemanticFluencyScore,journaling,full,0.1844104638557349,0.18302530475954273,0.12905766526011211,0.2396580812945282,970,1000
SemanticFluencyScore,journaling,linguistic,0.06031181416985376,0.05860603921583061,0.012310442838754525,0.10673031945226497,970,1000
SemanticFluencyScore,journaling,linguistic+acoustic,0.14104783649405928,0.13983094700383844,0.08663828801024726,0.19565661739599235,970,1000
SemanticFluencyScore,picnicScene,acoustic,0.0921238651138444,0.08971516368910372,0.037918458545932315,0.13473896534646143,970,1000
SemanticFluencyScore,picnicScene,baseline,-0.004357116894370794,-0.0052717000467995875,-0.0094898881003592,-0.002117395765266639,970,1000
SemanticFluencyScore,picnicScene,demographics,0.08472584887595036,0.08408593812210571,0.04933894292477809,0.11861295275514772,970,1000
SemanticFluencyScore,picnicScene,full,0.1644356959070169,0.16176115717047684,0.09827993372199982,0.21965939807673854,970,1000
SemanticFluencyScore,picnicScene,linguistic,0.07713705219299027,0.07331027433548862,0.009404395534904995,0.13170095349900032,970,1000
SemanticFluencyScore,picnicScene,linguistic+acoustic,0.1440854039078473,0.14116126642534765,0.07571101957201841,0.19947765487797137,970,1000
