target,task,model,r2_oof,r2_mean,r2_ci_low,r2_ci_high,n_subjects,n_boot
PictureNamingScore,cookieTheft,acoustic,0.11927424177347201,0.11705187794384223,0.05532391363277236,0.17846929915809817,959,1000
PictureNamingScore,cookieTheft,baseline,-0.0036655382345298637,-0.004675867734454079,-0.009134839467441773,-0.0015415945404212322,959,1000
PictureNamingScore,cookieTheft,demographics,-0.0015834775189187411,-0.0027017798636791877,-0.01871946336538605,0.013078941814510841,959,1000
PictureNamingScore,cookieTheft,full,0.1853035398566265,0.1830588157497246,0.06928491290529531,0.27835891951783154,959,1000
PictureNamingScore,cookieTheft,linguistic,0.2035725719857845,0.20141438742588805,0.0964002132812944,0.2965246710314956,959,1000
PictureNamingScore,cookieTheft,linguistic+acoustic,0.19282546478926976,0.1904662127597138,0.07823862741741983,0.2868725912911513,959,1000
PictureNamingScore,journaling,acoustic,0.048800836164866745,0.0460270807466488,-0.01237976278644461,0.10221288059387021,959,1000
PictureNamingScore,journaling,baseline,-0.0036655382345298637,-0.004675867734454079,-0.009134839467441773,-0.0015415945404212322,959,1000
PictureNamingScore,journaling,demographics,-0.0015834775189187411,-0.0027017798636791877,-0.01871946336538605,0.013078941814510841,959,1000
PictureNamingScore,journaling,full,0.11466609874359435,0.11097143531755711,0.023108735320444485,0.1866743079647586,959,1000
PictureNamingScore,journaling,linguistic,0.10035463075180695,0.09703221879565863,0.02910253219909628,0.15472280511133754,959,1000
PictureNamingScore,journaling,linguistic+acoustic,0.11664213660446787,0.11275864688784808,0.03067247379281875,0.1874753311799897,959,1000
PictureNamingScore,picnicScene,acoustic,0.15155493866681247,0.14897398900573472,0.0763973516016615,0.2233395942581364,959,1000
PictureNamingScore,picnicScene,baseline,-0.0036655382345298637,-0.004675867734454079,-0.009134839467441773,-0.0015415945404212322,959,1000
PictureNamingScore,picnicScene,demographics,-0.0015834775189187411,-0.0027017798636791877,-0.01871946336538605,0.013078941814510841,959,1000
PictureNamingScore,picnicScene,full,0.26713971514390233,0.26585441628641665,0.1568669409882392,0.36178288907734846,959,1000
PictureNamingScore,picnicScene,linguistic,0.23494190207912113,0.23378781810939217,0.1289771584330921,0.3215023512507255,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,0.27982122298399015,0.2780750354030989,0.1710069488170513,0.37464992368105826,959,1000
