target,task,model,metric,estimate,ci_low,ci_high,n_subjects,n_boot
PictureNamingScore,journaling,acoustic,rmse,2.6664822170635607,2.470369743231947,2.8714557010496837,959,1000
PictureNamingScore,journaling,acoustic,mae,1.9009072867552708,1.7877244923445381,2.017066159568563,959,1000
PictureNamingScore,journaling,baseline,r2,-0.0036655382345298637,-0.009134839467441773,-0.0015415945404212322,959,1000
PictureNamingScore,journaling,baseline,rmse,2.7390342824492784,2.504203071897658,2.9819417495493865,959,1000
PictureNamingScore,journaling,baseline,mae,1.9337835046025418,1.819488263313121,2.0556659143904286,959,1000
PictureNamingScore,journaling,demographics,r2,-0.0015834775189187411,-0.01871946336538605,0.013078941814510841,959,1000
PictureNamingScore,journaling,demographics,rmse,2.7361918035038824,2.510515688838834,2.974139129513902,959,1000
PictureNamingScore,journaling,demographics,mae,1.9278180818275024,1.8146140996997437,2.0514592625999297,959,1000
PictureNamingScore,journaling,full,r2,0.11466609874359435,0.023108735320444485,0.1866743079647586,959,1000
PictureNamingScore,journaling,full,rmse,2.572506667515519,2.4051040220403612,2.756908235487012,959,1000
PictureNamingScore,journaling,full,mae,1.9203725475106164,1.820271832806892,2.0326396312288346,959,1000
PictureNamingScore,journaling,linguistic,r2,0.10035463075180695,0.02910253219909628,0.15472280511133754,959,1000
PictureNamingScore,journaling,linguistic,rmse,2.593215663740219,2.4143401527905923,2.793743599174379,959,1000
PictureNamingScore,journaling,linguistic,mae,1.890555063918886,1.7867519992251109,2.0070684304708837,959,1000
PictureNamingScore,journaling,linguistic+acoustic,r2,0.11664213660446787,0.03067247379281875,0.1874753311799897,959,1000
PictureNamingScore,journaling,linguistic+acoustic,rmse,2.5696341861745964,2.401935904791315,2.7537899375644255,959,1000
PictureNamingScore,journaling,linguistic+acoustic,mae,1.9083472188521047,1.8044333839665123,2.024401612841499,959,1000
PictureNamingScore,picnicScene,acoustic,r2,0.15155493866681247,0.0763973516016615,0.2233395942581364,959,1000
PictureNamingScore,picnicScene,acoustic,rmse,2.5183426741028474,2.3213460501145518,2.724197580181189,959,1000
PictureNamingScore,picnicScene,acoustic,mae,1.8220906857825572,1.7184917309628907,1.9272564441321813,959,1000
PictureNamingScore,picnicScene,baseline,r2,-0.0036655382345298637,-0.009134839467441773,-0.0015415945404212322,959,1000
PictureNamingScore,picnicScene,baseline,rmse,2.7390342824492784,2.504203071897658,2.9819417495493865,959,1000
PictureNamingScore,picnicScene,baseline,mae,1.9337835046025418,1.819488263313121,2.0556659143904286,959,1000
PictureNamingScore,picnicScene,demographics,r2,-0.0015834775189187411,-0.01871946336538605,0.013078941814510841,959,1000
PictureNamingScore,picnicScene,demographics,rmse,2.7361918035038824,2.510515688838834,2.974139129513902,959,1000
PictureNamingScore,picnicScene,demographics,mae,1.9278180818275024,1.8146140996997437,2.0514592625999297,959,1000
PictureNamingScore,picnicScene,full,r2,0.26713971514390233,0.1568669409882392,0.36178288907734846,959,1000
PictureNamingScore,picnicScene,full,rmse,2.3405264602462474,2.1390757339070205,2.5590825731013673,959,1000
PictureNamingScore,picnicScene,full,mae,1.710121673763017,1.611521406554162,1.8111160270834268,959,1000
PictureNamingScore,picnicScene,linguistic,r2,0.23494190207912113,0.1289771584330921,0.3215023512507255,959,1000
PictureNamingScore,picnicScene,linguistic,rmse,2.391388684704386,2.188337055989949,2.611304547272133,959,1000
PictureNamingScore,picnicScene,linguistic,mae,1.7356803080154608,1.636740586993345,1.8431513241346749,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,r2,0.27982122298399015,0.1710069488170513,0.37464992368105826,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,rmse,2.320187705994357,2.1198553767524055,2.540091029810196,959,1000
PictureNamingScore,picnicScene,linguistic+acoustic,mae,1.6998282967164182,1.6019815951184948,1.8002107643493603,959,1000
