feature,r_PictureNamingScore,p_PictureNamingScore,r_SemanticFluencyScore,p_SemanticFluencyScore,r_PhonemicFluencyScore,p_PhonemicFluencyScore
n_words,0.14573181738246824,0.00018529717732249408,0.11806724490909619,0.007841980478771434,0.0429099981658026,1.0
mattr_10,0.16012513953304544,2.1542494484439985e-05,0.11583469172444545,0.010053600823639187,0.014914221238857921,1.0
mattr_30,0.16862803958104536,5.255484303559134e-06,0.10807802853941582,0.02385112797515365,0.006965987251380888,1.0
filler_word_ratio,0.10994112416323681,0.019783576895323046,-0.018135119997781345,1.0,0.009080135007473135,1.0
average_word_length,0.08231917588822954,0.2682434074900603,0.04511144877476779,1.0,0.005946000680260865,1.0
brunets_index,0.09017637860098454,0.1417879274623074,0.12398227137644129,0.003987875578219034,0.07038338074300962,1.0
honores_statistic,0.10553423294859804,0.03186015101829041,0.07323152524130967,0.6122885484753308,0.05534890573832585,1.0
guirauds_statistic,0.2508097927632463,8.458397101789657e-14,0.21643393996531393,3.7409281961701904e-10,0.09336215587361665,0.16514823776623408
light_verb_ratio,-0.02072449886760868,1.0,-0.003405342881054567,1.0,-0.04445627053060715,1.0
nid_ratio,0.1024369071424609,0.042307002534194,0.00458007306383029,1.0,0.009246841503558737,1.0
aoa_content,0.16637246750222237,7.621762551120559e-06,0.07256789295206696,0.6236116864325102,0.08777767296409839,0.28037334522551677
aoa_nouns,0.1474738102276971,0.00014554020526997682,0.047279486752227005,1.0,0.05892469617072584,1.0
aoa_verbs,0.08504238028144757,0.2164171475767205,0.04907075787993463,1.0,0.07961867195751249,0.5696301528446206
freq_content,-0.12276172222147576,0.004205159555780644,-0.13332004475896156,0.0011874320638676124,-0.0669802340369295,1.0
freq_nouns,-0.1345474783473398,0.0009283353503495236,-0.06597192548055934,1.0,0.010093318920868252,1.0
freq_verbs,-0.051900291425442086,1.0,-0.042519485676920724,1.0,-0.05351329335230204,1.0
concr_content,0.15355549056013632,5.746425419991057e-05,0.13500740607327513,0.0009592770844535299,0.030920364026977676,1.0
concr_nouns,0.12871632323226145,0.002021321735388296,0.055410344845579974,1.0,0.017237599495259773,1.0
concr_verbs,0.07232399153855676,0.5655203309514044,0.0852961367480547,0.2264354867044228,0.020171384515339594,1.0
ADJ,-0.041489934087388214,1.0,-0.04096444199542445,1.0,-0.02848319983823828,1.0
ADP,0.05538191209223525,1.0,0.11365287278334765,0.012739166083485073,0.006912506484369956,1.0
ADV,-0.036061270456558346,1.0,-0.027989134628659595,1.0,-0.03292454433179302,1.0
AUX,-0.033370820419609135,1.0,-0.07950876891669909,0.37068014296542584,-0.04422257969752261,1.0
CCONJ,0.07024271496849233,0.6135414216035247,0.019595752862520632,1.0,0.004060583109009963,1.0
DET,0.12452167116567783,0.00343777861157044,0.12102585800475896,0.005673528568682553,0.028516808131720802,1.0
NOUN,0.06676764237027627,0.7693086318193011,0.15352626255502203,6.185713556789003e-05,0.05318525153987715,1.0
PART,-0.015466190210063634,1.0,-0.06072525828403308,1.0,0.02540920926466819,1.0
PRON,-0.19789985317033157,2.0622107281697935e-08,-0.13324290374525652,0.0011874320638676124,-0.03263436266862159,1.0
SCONJ,0.04736443101171052,1.0,-0.017029465183678448,1.0,0.0700253913273053,1.0
VERB,-0.08169408049782989,0.2682434074900603,-0.12105204617424563,0.005673528568682553,0.005601444961013631,1.0
NOUN/VERB,0.08199576207202289,0.2682434074900603,0.16286422593222177,1.3598940953116672e-05,0.007499595913105062,1.0
PRON/NOUN,-0.1597356250994185,2.2484886327427224e-05,-0.19820948198594052,1.8958406210178312e-08,-0.06055218507306497,1.0
DET/NOUN,0.08856703395562876,0.16033024026123152,0.008919001947012218,1.0,-0.012054133069231608,1.0
AUX/VERB,0.014854692823973035,1.0,-0.022879835822885806,1.0,-0.04048582020111116,1.0
OPEN/CLOSED,0.022414898742683924,1.0,-0.0036980789543859275,1.0,-0.0010636210748106395,1.0
information_words,-0.017232768450120863,1.0,0.0419257754084402,1.0,0.02566465566374633,1.0
phonation_rate,0.2540663454162083,3.6060759941826155e-14,0.29816574397879864,7.714511498241375e-20,0.17187131871639358,3.33016048283419e-06
speech_rate_phonemes,0.19945170589515812,1.525324916368133e-08,0.31136082660160674,9.859064497975226e-22,0.2014954298955393,1.0730517948578958e-08
n_pauses,-0.10445586379901074,0.03489628636698137,-0.1714400434269286,3.1303550721223634e-06,-0.11008211284702797,0.027244348614346287
total_pause_duration,-0.15944563393833533,2.3069443261600085e-05,-0.23045180871112303,1.428857953741153e-11,-0.15935054254585246,2.7697147123567434e-05
avg_pause_duration,-0.0711571408152047,0.5959392650257668,-0.06487873255635572,1.0,-0.06647950423104143,1.0
pause_word_ratio,-0.2570084676305385,1.6539062945875193e-14,-0.27862039993417825,3.3081878438142595e-17,-0.16894327639994758,5.490655619593533e-06
pause_rate,-0.21917738525449526,2.0812211881473198e-10,-0.24631147359023642,2.709028172619744e-13,-0.11417879109617797,0.01708016002122407
eGeMAPS_jitterLocal_sma3nz_amean,0.0008141921506139671,1.0,-0.009526380488892972,1.0,-0.005808138826844126,1.0
eGeMAPS_shimmerLocaldB_sma3nz_amean,-0.048217879834016535,1.0,-0.017392950507328822,1.0,0.02485873114331904,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,0.05298713373105396,1.0,0.09120875407709687,0.13659473842081707,-0.0021657190466459766,1.0
eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,0.05099794388031093,1.0,0.08901247389135986,0.16414761468784753,-0.007880987344328138,1.0
