Fold,R2,RMSE,MAE
1,0.08617206415643452,4.591265797688478,3.636980396724011
2,-0.33434754754763074,5.3021342926692405,4.082612779156609
3,-0.21225053450640496,5.085223499230455,4.026489111621027
4,-0.07618054952117936,4.62904910287306,3.758433652235867
5,0.08923671500717145,4.471169574813285,3.3946914412413585
