Fold,R2,RMSE,MAE
1,-0.02356200965631916,2.3414971631881025,1.7516948082024508
2,-0.0004655016728960515,2.5733136891537867,1.8908558817885244
3,-0.004119278870806653,2.704301211498924,1.9382848222796278
4,-0.0004967199966627867,2.5227088181051145,1.7475721449391481
5,-0.019746042242641426,2.9988097765672075,2.0238746894606088
