task,target,model,criterion,best_threshold,precision,recall,f1,threshold
picnicScene,PictureNamingScore,acoustic+linguistic,max_f1,0.22066573572638004,0.3473684210526316,0.6,0.44,
picnicScene,PictureNamingScore,acoustic+linguistic,recall>=0.80,,0.16955684007707128,0.8,,0.11383808733863476
