threshold_type,target_recall,threshold,accuracy_ci_high,accuracy_ci_low,accuracy_mean,auprc_ci_high,auprc_ci_low,auprc_mean,auroc_ci_high,auroc_ci_low,auroc_mean,balanced_accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_mean,f1_ci_high,f1_ci_low,f1_mean,mcc_ci_high,mcc_ci_low,mcc_mean,npv_ci_high,npv_ci_low,npv_mean,precision_at_target_ci_high,precision_at_target_ci_low,precision_at_target_mean,precision_ci_high,precision_ci_low,precision_mean,recall_at_target_ci_high,recall_at_target_ci_low,recall_at_target_mean,sensitivity_ci_high,sensitivity_ci_low,sensitivity_mean,specificity_ci_high,specificity_ci_low,specificity_mean,threshold_ci_high,threshold_ci_low,threshold_mean
baseline_0.50,,0.5,0.9188335046248716,0.8828365878725591,0.9012476875642343,0.5368861313523475,0.33968196827366065,0.4401150789780991,0.8050749151217852,0.6876614201587119,0.747358893147074,0.6232331485456182,0.552608646527038,0.5865278624071557,0.3876084692814995,0.1925777777777778,0.2901527001839581,0.43653742550049857,0.23545696302032684,0.340136423631733,0.9230769230769231,0.8853420879357146,0.9048317127313003,,,,0.9310919540229884,0.5832236842105265,0.7689081362269273,,,,0.25237724373238385,0.11214953271028037,0.17993162056781936,0.9977091147860687,0.9871341262993549,0.9931241042464921,,,
youdenJ,,0.21743439329653014,0.8458376156217883,0.7975334018499486,0.8220041109969167,0.5368861313523475,0.33968196827366065,0.4401150789780991,0.8050749151217852,0.6876614201587119,0.747358893147074,0.7776173362115535,0.6804817673074822,0.7288680686279502,0.5032577739029351,0.36541882156842603,0.4350199318556189,0.43575062286285593,0.28154772252126575,0.3603191544600307,0.9600026595744681,0.9278474367919199,0.9445357120456069,,,,0.40933716668772907,0.2736817279046673,0.3395277925380746,,,,0.7033068783068783,0.5134029484029484,0.6085265347807619,0.8732628260987964,0.8239949656750571,0.8492096024751384,,,
max_f1,,0.22066573572638004,0.8499743062692703,0.8036998972250771,0.827289825282631,0.5368861313523475,0.33968196827366065,0.4401150789780991,0.8050749151217852,0.6876614201587119,0.747358893147074,0.7753351541730465,0.6806989612431451,0.7279511348321317,0.506767953111613,0.3687656445556946,0.43877792487045253,0.44092140526726475,0.2862034360471659,0.36386022438784854,0.9588741543336906,0.9273365786166501,0.9437824986827529,,,,0.41899441340782123,0.2789388583398795,0.34706011340644055,,,,0.6944444444444444,0.5047534766118836,0.5995950227565335,0.8796799092651896,0.8333333333333334,0.8563072469077299,,,
recall80_fixed,,0.11383808733863476,0.5673175745118191,0.5015416238437821,0.5348828365878726,0.5368861313523475,0.33968196827366065,0.4401150789780991,0.8050749151217852,0.6876614201587119,0.747358893147074,0.6914878045504261,0.6084513728095786,0.650789227332054,0.32655632331672824,0.2358799961356598,0.279728950591684,0.24494321529403398,0.134156421627676,0.19122581558723037,0.9709220730797912,0.9304880223140577,0.951727815818173,,,,0.2043222003929273,0.13903107907525264,0.16971416239817427,,,,0.871584367692031,0.7216370935765266,0.8005247151741735,0.5338175862821459,0.46634577471400024,0.5010537394899345,,,
recall>=0.80_reselect,0.8,,0.6382579650565262,0.39565775950668036,0.5253782117163411,,,,0.8050749151217852,0.6876614201587119,0.747358893147074,0.711729601480153,0.575368923798039,0.6489612252553985,0.34259514012320125,0.21699797843665772,0.2801672472501999,0.2704651926602557,0.10004382911672544,0.19004080851346156,,,,0.2174155788110907,0.1253674948240166,0.17003592843939483,0.2174155788110907,0.1253674948240166,0.17003592843939483,0.8288708199725148,0.8,0.8086079892796085,0.8288708199725148,0.8,0.8086079892796085,0.6165549957118354,0.34095810543089716,0.4893144612311885,0.1367566126432034,0.08671843557217224,0.11161113726293655
