subject,y_true,y_pred,error,Gender,Country
756,2.0,18.289817376250248,16.289817376250248,m,usa
1348,3.0,18.44770994753333,15.44770994753333,f,uk
994,6.0,17.527711037655326,11.527711037655326,f,uk
197,6.0,17.07405275136759,11.074052751367589,f,uk
952,7.0,17.348619609172733,10.348619609172733,m,usa
186,8.0,17.83439903860939,9.83439903860939,f,usa
1318,6.0,15.777022046059828,9.777022046059828,m,usa
802,9.0,18.16472997696273,9.164729976962729,f,usa
1113,8.0,16.329051338569485,8.329051338569485,f,usa
344,10.0,17.9623970267492,7.962397026749201,f,uk
957,9.0,16.60497194724318,7.604971947243179,f,uk
158,8.0,15.303613695195304,7.303613695195304,m,usa
951,8.0,15.249986709389672,7.249986709389672,m,usa
536,9.0,16.103441482075638,7.103441482075638,m,usa
614,11.0,18.039922630621547,7.039922630621547,m,uk
1176,4.0,10.919317585730411,6.919317585730411,f,usa
922,3.0,9.861458564249654,6.861458564249654,m,usa
1188,10.0,16.746530142026298,6.746530142026298,f,usa
421,11.0,17.653337917542085,6.6533379175420855,f,uk
578,10.0,16.43213126223853,6.432131262238531,m,uk
944,8.0,14.201026787445343,6.201026787445343,m,usa
190,19.0,12.878860128368368,-6.121139871631632,m,usa
774,11.0,17.039954287341246,6.039954287341246,f,usa
945,12.0,17.92700861817642,5.927008618176419,m,uk
220,12.0,17.926919566053744,5.926919566053744,m,uk
142,10.0,15.907863544518497,5.907863544518497,m,usa
632,8.0,13.906142283865623,5.9061422838656235,m,usa
1316,12.0,17.869617507116562,5.869617507116562,f,usa
1003,11.0,16.830578140240522,5.830578140240522,f,usa
560,9.0,14.78764253715325,5.78764253715325,m,usa
463,12.0,17.733616407130317,5.733616407130317,f,usa
871,19.0,13.276112703813896,-5.7238872961861045,f,uk
1071,11.0,16.65851755331049,5.658517553310489,m,usa
210,13.0,18.53455580260816,5.5345558026081605,f,uk
219,13.0,18.421845670215685,5.421845670215685,f,uk
501,10.0,15.343906334445284,5.343906334445284,m,usa
