feature,VIF
eGeMAPS_slopeV0-500_sma3nz_amean,9.940664914320761
eGeMAPS_slopeV0-500_sma3nz_stddevNorm,1.1919960051269503
eGeMAPS_slopeV500-1500_sma3nz_amean,12.137995331113947
eGeMAPS_slopeV500-1500_sma3nz_stddevNorm,2.519894223402126
eGeMAPS_spectralFluxV_sma3nz_amean,59.776749850643085
eGeMAPS_spectralFluxV_sma3nz_stddevNorm,39.047714335528426
eGeMAPS_mfcc1V_sma3nz_amean,78.69223079334
eGeMAPS_mfcc1V_sma3nz_stddevNorm,2.687193220831568
eGeMAPS_mfcc2V_sma3nz_amean,59.937108295864356
eGeMAPS_mfcc2V_sma3nz_stddevNorm,1.1850276753340132
eGeMAPS_mfcc3V_sma3nz_amean,36.06560455751792
eGeMAPS_mfcc3V_sma3nz_stddevNorm,1.1717755056624277
eGeMAPS_mfcc4V_sma3nz_amean,59.57584263264742
eGeMAPS_mfcc4V_sma3nz_stddevNorm,1.1594421197456386
eGeMAPS_alphaRatioUV_sma3nz_amean,36.04796870846923
eGeMAPS_hammarbergIndexUV_sma3nz_amean,25.738339692656325
eGeMAPS_slopeUV0-500_sma3nz_amean,5.347412285489392
eGeMAPS_slopeUV500-1500_sma3nz_amean,8.324799752766049
eGeMAPS_spectralFluxUV_sma3nz_amean,9.631174534732471
eGeMAPS_loudnessPeaksPerSec,8.966248987532987
eGeMAPS_VoicedSegmentsPerSec,12.569260695672238
eGeMAPS_MeanVoicedSegmentLengthSec,27.024737108393637
eGeMAPS_StddevVoicedSegmentLengthSec,28.979974847579843
eGeMAPS_MeanUnvoicedSegmentLength,26.866947423280553
eGeMAPS_StddevUnvoicedSegmentLength,9.28841175030357
eGeMAPS_equivalentSoundLevel_dBp,7.530744727819877
