index,coefficient,standardized_coefficient,p_value,std_err,t_value,conf_low,conf_high
const,-2134.7827872800435,15.41069258798606,0.13146807190675905,1413.6634764156122,-1.5101067707378646,-4910.3181654842065,640.752590924119
n_words,0.0036357303115748247,0.6774390152406893,0.5892511759438934,0.00673070273959897,0.540170982471802,-0.009579086287704973,0.016850546910854622
ttr,6.391630220916904,0.45046785360834496,0.24004280012951157,5.435610168733523,1.1758809080317343,-4.280448797279888,17.063709239113695
mattr,-0.3670600419875969,-0.01557626454389456,0.956240816898859,6.687045514328047,-0.05489121334692773,-13.496161635344691,12.7620415513695
filler_word_ratio,-29.856380221984267,-0.767682324106081,0.1159645170129364,18.969756930629355,-1.5738936630114073,-67.10091002365547,7.388149579686932
concreteness_score,1.8206512670416344,0.20142745682236662,0.4894754388900463,2.6328677248705437,0.6915088250896291,-3.3486253241869863,6.989927858270255
aoa_average,2.4575910398315726,0.4076763272973728,0.09416995576946097,1.466274263019343,1.6760786858325645,-0.42123844049090353,5.336420520154048
ADJ,-20.313597512194676,0.28634100556561193,0.480458318114665,28.775093043336327,-0.7059437646857185,-76.8095670872168,36.18237206282746
ADP,-196.79242483845923,-0.26560013928325044,0.1535340456280945,137.7412536180947,-1.4287108594502231,-467.22858509391267,73.64373541699422
ADV,-25.94969891393973,0.20882698273893757,0.37297037784090126,29.108066413450548,-0.8914951115388631,-83.09941627559577,31.200018447716307
AUX,-104.91161485768113,1.7610633651521024,0.44147314500560464,136.22291833483843,-0.770146581354295,-372.3667309219536,162.54350120659137
CCONJ,-198.57110654587046,-0.22294307082956236,0.1201621945466724,127.61690243052871,-1.5559937811056601,-449.1294844498251,51.98727135808417
DET,-154.21797333377302,0.849364377314042,0.2650369681082455,138.25512779597477,-1.1154593380533044,-425.66305543268254,117.22710876513648
INTJ,-189.8984952980977,-0.08975914271503957,0.14049717634642195,128.69095684534884,-1.475616468733724,-442.56563251866726,62.7686419224718
NOUN,-38.83698685420854,-0.0947906631987269,0.3993856487061258,46.05714981802629,-0.8432346987960628,-129.2639172176544,51.58994350923734
NUM,-136.23309286007182,0.4733463653246899,0.28216834776950117,126.57641905596572,-1.0762912545332508,-384.7486236050582,112.28243788491454
PART,-161.12822996458644,0.33205691749124117,0.2077897806171281,127.79508495151953,-1.2608327622749513,-412.0364449401202,89.77998501094731
PRON,-214.75285777576897,-0.899572098756173,0.10325738164458444,131.63754413465927,-1.6313952010232469,-473.20521715344216,43.69950160190422
PROPN,-157.51927922305242,0.10620621942027611,0.25662191593124223,138.74191147464512,-1.1353402699215287,-429.9200946660161,114.88153621991125
PUNCT,0.1657726466913712,0.01758955522649442,0.11277429803773098,0.10440122885479199,1.5878419105769204,-0.039204923323512025,0.3707502167062544
SCONJ,-168.50976990240238,0.21592329567405938,0.1875945505671782,127.75381906843539,-1.3190194323046796,-419.33696494616055,82.31742514135578
SYM,-0.20494089545319544,0.03241213565738377,0.10905545148701079,0.1277287782958318,-1.6045005533407135,-0.4557189263561108,0.0458371354497199
VERB,-90.43847317120972,-1.3202070293011827,0.009020017820606565,34.53674411714891,-2.6186160705954706,-158.24665860172118,-22.630287740698265
OTHER,-277.47523647463004,-0.04060376983863195,0.46397750783921243,378.6942995121036,-0.732715641170515,-1020.9898305455836,466.0393575963235
NOUN/VERB,-0.42275998940041704,-0.20125851818639331,0.8813524498108557,2.8314330812659634,-0.14930954653231523,-5.981892568815561,5.1363725900147275
PRON/NOUN,5.7966324566866865,1.2209148480131062,0.1971244424180559,4.489972355096174,1.2910174046188587,-3.018815722201034,14.612080635574408
DET/NOUN,-4.345597402337824,-0.42347825164293607,0.7056625100649201,11.501089964832607,-0.3778422232697553,-26.926418522679835,18.23522371800419
AUX/VERB,-10.206856139238239,-1.8244977053460403,0.056226606705728065,5.337050901840009,-1.9124524624112744,-20.68542748274684,0.2717152042703592
ADP/VERB,0.5005600552875733,0.14915343567758158,0.9137688594792615,4.620903400110787,0.10832515028891801,-8.571953368339102,9.57307347891425
CCONJ/SCONJ,0.1728161369415052,0.4488815438530468,0.12893561413987245,0.11368662871179314,1.5201096109517964,-0.05039204894047547,0.3960243228234859
OPEN/CLOSED,5.938251592997075,0.7136433263351893,0.7001694237779938,15.41402215677618,0.38524997126636096,-24.325078068055376,36.20158125404952
POS_ENTROPY,-8.129599806160286,-0.6893873362991744,0.26557159627315363,7.296283246992008,-1.1142111032369562,-22.45485657290645,6.195656960585881
LEXICAL_DENSITY,-176.06878478885793,-0.8109245196839859,0.08858714708844435,103.24940023325115,-1.7052765865089792,-378.78489644250465,26.647326864788823
speech_rate,2.090099152973234,0.7680013228056296,0.6806298495082079,5.075815883871655,0.41177599834038486,-7.87557287150125,12.055771177447719
speaking_time_ratio,2377.0834231861522,220.90634822683276,0.12281896028533758,1538.648097896041,1.5449168828379887,-643.8422083829482,5398.009054755253
pause_ratio,2419.8528590900587,224.8795428963761,0.11568826141983272,1536.327254515934,1.5750894556983601,-596.5161131211225,5436.22183130124
n_pauses,-0.0181048077878924,-0.6150435759528803,0.611028741596364,0.035580930034934816,-0.508834585552327,-0.08796310981587427,0.05175349424008946
avg_pause_duration,0.12348176976962572,0.05002180583194014,0.8410875023198789,0.6156320188379288,0.20057723768609492,-1.0852277121874283,1.3321912517266798
articulation_rate,-0.5718400452265114,-0.20819130246631282,0.8964847143437529,4.393679345405648,-0.1301506096079745,-9.198230036272053,8.054549945819028
hesitation_ratio,-44.0409016010606,-4.14522245927371,0.19658718768539668,34.07237364144442,-1.2925692252767154,-110.93735895384079,22.855555751719592
