TrainingSize%,Test_R2
10,-1.4341526188194718
20,-0.41161697018662435
30,-0.23767887954971867
40,-0.13916183719752606
50,-0.10419967991078138
60,-0.0354097446645627
70,-0.0230618126203197
80,0.0022216374536960792
90,0.00824793315634853
100,-0.0017198583590514183
