TrainingSize%,Test_R2
10,-2.090585011249979
20,-1.04899467763504
30,-0.3810563265597937
40,-0.23762019471607476
50,-0.15104395830749007
60,-0.103222028959298
70,-0.07310939469831923
80,-0.03270750531007094
90,-0.07214461922028215
100,-0.038745706282273584
