TrainingSize%,Test_R2
10,-1.398676519779281
20,-0.6521791374806083
30,-0.2329959588105548
40,-0.146838765351339
50,-0.022578558238107505
60,-0.031946982636434695
70,-0.04965806056558275
80,-0.02740659398525147
90,-0.028219893256603568
100,0.004713749373294163
