TrainingSize%,Test_R2
10,-1.48241970606536
20,-0.4580403387400005
30,-0.2564860836643523
40,-0.11483495648526088
50,-0.07814357006813388
60,-0.02566525998391289
70,-0.015682264913934763
80,-0.004609968169779544
90,0.03249364008496969
100,0.058524213999092356
