TrainingSize%,Test_R2
10,-0.44802415167941967
20,-0.035884742400221326
30,0.0688989359306974
40,0.1869756721663549
50,0.18657869163204943
60,0.2041571639196923
70,0.22680379404673945
80,0.22858268456556663
90,0.23269125914131827
100,0.25259224494099075
