TrainingSize%,Test_R2
10,-0.9189051327568185
20,-0.378719702519247
30,-0.10436078851080999
40,0.015068711902280207
50,0.013516476537836053
60,0.07743781803870331
70,0.11094851794970195
80,0.11285909750575396
90,0.13445027746826166
100,0.15712728764440287
