TrainingSize%,Test_R2
10,-2.6446411172890407
20,-0.5026719759477589
30,-0.1760308249962974
40,-0.3362127750785102
50,-0.22817104578401892
60,-0.14999339664731126
70,-0.08681013852741093
80,-0.05349394799003626
90,-0.0016905598493601737
100,0.019626962274540416
