TrainingSize%,Test_R2
10,-2.3314207585252946
20,-0.39339395098459495
30,-0.325434996718579
40,-0.14243263206820567
50,-0.1030801524331566
60,-0.04240483056062572
70,-0.027077428066578646
80,0.0025089365080539494
90,-0.013191598087833212
100,0.001258279416704311
