target,task,model,metric,estimate,ci_low,ci_high,n_subjects
PictureNamingScore,cookieTheft,acoustic,r2,0.10514343088633146,0.039457803328876044,0.1718363684817424,959
PictureNamingScore,cookieTheft,acoustic,rmse,2.5835079674544077,2.3910858159899915,2.7848901455836814,959
PictureNamingScore,cookieTheft,acoustic,mae,1.8861200085465673,1.7739488996175128,2.0003679810016144,959
PictureNamingScore,cookieTheft,baseline,r2,-0.0032369270012569873,-0.007590424781146548,-0.0006120757730238076,959
PictureNamingScore,cookieTheft,baseline,rmse,2.737031212931326,2.492569956434735,2.972640971528402,959
PictureNamingScore,cookieTheft,baseline,mae,1.9331283358267957,1.8147887171851345,2.05597791023875,959
PictureNamingScore,cookieTheft,demographics,r2,0.027430286160927166,-0.028816461246491672,0.08977467357448062,959
PictureNamingScore,cookieTheft,demographics,rmse,2.693851817459683,2.48572183939015,2.912250663442688,959
PictureNamingScore,cookieTheft,demographics,mae,1.940862411580878,1.82949109392403,2.061603352594979,959
PictureNamingScore,cookieTheft,full,r2,0.219651004625431,0.15010124243165404,0.2866191278358159,959
PictureNamingScore,cookieTheft,full,rmse,2.4124746379213464,2.22305740319169,2.6274561937146856,959
PictureNamingScore,cookieTheft,full,mae,1.7538056788845267,1.6464297297231145,1.8637644029908957,959
PictureNamingScore,cookieTheft,linguistic,r2,0.21291825472272055,0.14475759211151137,0.28188789896404853,959
PictureNamingScore,cookieTheft,linguistic,rmse,2.422958797562534,2.236660768573661,2.647537021362485,959
PictureNamingScore,cookieTheft,linguistic,mae,1.7474952259687544,1.644545516481655,1.8561023853223704,959
PictureNamingScore,cookieTheft,linguistic+acoustic,r2,0.22226561423554703,0.15304298546794268,0.2893001565538577,959
PictureNamingScore,cookieTheft,linguistic+acoustic,rmse,2.4084002835909604,2.2197967951506263,2.6199220650089106,959
PictureNamingScore,cookieTheft,linguistic+acoustic,mae,1.751259120220939,1.6449759730280076,1.8600067073000832,959
PictureNamingScore,journaling,acoustic,r2,0.0393269303055213,-0.015006142802091374,0.09085679102064192,959
PictureNamingScore,journaling,acoustic,rmse,2.677506317650864,2.467382516040404,2.892629915726417,959
PictureNamingScore,journaling,acoustic,mae,1.912731959180334,1.799102917643224,2.032299710778162,959
PictureNamingScore,journaling,baseline,r2,-0.0032369270012569873,-0.007590424781146548,-0.0006120757730238076,959
PictureNamingScore,journaling,baseline,rmse,2.737031212931326,2.492569956434735,2.972640971528402,959
PictureNamingScore,journaling,baseline,mae,1.9331283358267957,1.8147887171851345,2.05597791023875,959
PictureNamingScore,journaling,demographics,r2,0.027430286160927166,-0.028816461246491672,0.08977467357448062,959
PictureNamingScore,journaling,demographics,rmse,2.693851817459683,2.48572183939015,2.912250663442688,959
PictureNamingScore,journaling,demographics,mae,1.940862411580878,1.82949109392403,2.061603352594979,959
PictureNamingScore,journaling,full,r2,0.12368581491180206,0.06714872060001369,0.17632477202971478,959
PictureNamingScore,journaling,full,rmse,2.5570095341513515,2.359700786121497,2.771765777733808,959
PictureNamingScore,journaling,full,mae,1.8398535263964704,1.727212100118481,1.9570010747744992,959
PictureNamingScore,journaling,linguistic,r2,0.09919778712983872,0.04599498174094867,0.15156143267108574,959
PictureNamingScore,journaling,linguistic,rmse,2.592590968514406,2.3857867657828904,2.8064699418071544,959
PictureNamingScore,journaling,linguistic,mae,1.8619783456047345,1.7469928966131545,1.9802503785323653,959
PictureNamingScore,journaling,linguistic+acoustic,r2,0.12266740235767884,0.0677671773044227,0.1745024333999787,959
PictureNamingScore,journaling,linguistic+acoustic,rmse,2.5584837579975512,2.3599948237499615,2.7729657662037885,959
PictureNamingScore,journaling,linguistic+acoustic,mae,1.8407157077606249,1.7248162241190328,1.9573198888831709,959
PictureNamingScore,picnicScene,acoustic,r2,0.16636024312912387,0.09343417115006081,0.24301300374521576,959
PictureNamingScore,picnicScene,acoustic,rmse,2.493606559487166,2.2914531881830884,2.711196003318208,959
PictureNamingScore,picnicScene,acoustic,mae,1.7997413235119537,1.6868315783140353,1.911922798020928,959
PictureNamingScore,picnicScene,baseline,r2,-0.0032369270012569873,-0.007590424781146548,-0.0006120757730238076,959
PictureNamingScore,picnicScene,baseline,rmse,2.737031212931326,2.492569956434735,2.972640971528402,959
PictureNamingScore,picnicScene,baseline,mae,1.9331283358267957,1.8147887171851345,2.05597791023875,959
PictureNamingScore,picnicScene,demographics,r2,0.027430286160927166,-0.028816461246491672,0.08977467357448062,959
PictureNamingScore,picnicScene,demographics,rmse,2.693851817459683,2.48572183939015,2.912250663442688,959
PictureNamingScore,picnicScene,demographics,mae,1.940862411580878,1.82949109392403,2.061603352594979,959
PictureNamingScore,picnicScene,full,r2,0.2714452827361381,0.19213914017719905,0.34754862675101195,959
PictureNamingScore,picnicScene,full,rmse,2.331034781996315,2.133464191670577,2.555612947863278,959
PictureNamingScore,picnicScene,full,mae,1.682668710138346,1.5813860649794322,1.7865276088188695,959
PictureNamingScore,picnicScene,linguistic,r2,0.25767627925983594,0.18103142860419863,0.33359870200297237,959
PictureNamingScore,picnicScene,linguistic,rmse,2.3529754001407146,2.1469733518381515,2.57263190495285,959
PictureNamingScore,picnicScene,linguistic,mae,1.691789524210151,1.5919479224900865,1.7976354856884356,959
PictureNamingScore,picnicScene,linguistic+acoustic,r2,0.26973505627187117,0.18694460924772485,0.3463273777191801,959
PictureNamingScore,picnicScene,linguistic+acoustic,rmse,2.333742059976226,2.132824428285924,2.55661825091051,959
PictureNamingScore,picnicScene,linguistic+acoustic,mae,1.6771321684629434,1.573172903863777,1.7832133791910998,959
