Fold,R2,RMSE,MAE
1,0.17539685937671212,5.450818657198329,4.225373292315917
2,0.1647617240333542,5.0571883066140355,4.047225334432476
3,0.06419977545454869,4.804162914351741,3.9503912919102433
4,0.12410369118683706,5.410084644738234,4.1705044321742575
5,0.19645682842894596,5.129732584512768,4.0982805341400805
