model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high,rmse_mean,mae_mean
baseline,-0.006119805559634317,0.005415492028567857,0.0024218816614971924,-0.010866693616168814,-0.00137291750309982,5.687327824547744,4.523642719303138
demographics,0.07158664443125998,0.022279263670873253,0.009963589611342819,0.05205800879302805,0.0911152800694919,5.463040148645085,4.300354705857229
linguistic,0.11018879751960975,0.020167497738389054,0.00901917917582224,0.09251120633499815,0.12786638870422135,5.327069646551605,4.185066879268035
acoustic,0.07373794226926485,0.011216402711652945,0.005016127785253791,0.06390633181016742,0.08356955272836228,5.4590846996362705,4.32333272291441
linguistic+acoustic,0.14686981336417376,0.04205993830406439,0.01880977623546704,0.11000265194265837,0.18373697478568915,5.218108982822605,4.0955430969226505
full,0.17848171782177424,0.034376931032767954,0.015373830929418238,0.1483490092001145,0.20861442644343398,5.120231030940468,4.0460534524937835
