mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.782304620742798,0.024943237665677943,0.1361055850982666,0.0038923628180029626,True,balanced,15,sqrt,3,3,775,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 775}",0.7948350071736011,0.7327586206896551,0.6508264462809917,0.7001044932079414,0.6819727891156463,0.7120994712935672,0.04914844742948053,565
1.8231619358062745,0.1925233011722671,0.17582268714904786,0.029826801014010213,True,balanced,15,sqrt,3,3,825,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 825}",0.7955523672883787,0.7337164750957854,0.6539256198347108,0.7011494252873564,0.6870748299319729,0.7142837434876409,0.04803781563432829,424
1.889846134185791,0.19910935517932357,0.14681344032287597,0.006072172397904291,True,balanced,15,sqrt,3,3,875,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 875}",0.7941176470588236,0.7365900383141762,0.652892561983471,0.7042842215256008,0.6862244897959184,0.714821791735598,0.048012008482043865,394
1.9727770328521728,0.28305109614117185,0.08228864669799804,0.0060932655368426845,True,balanced,15,sqrt,3,3,925,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 925}",0.7948350071736012,0.7385057471264368,0.6549586776859504,0.6969696969696969,0.6811224489795918,0.7132783155870553,0.0489674753443887,481
2.3446844577789308,0.25624721871018796,0.1271183967590332,0.0336353805168801,True,balanced,15,sqrt,3,3,975,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 3, 'n_estimators': 975}",0.7991391678622668,0.7385057471264368,0.6539256198347108,0.7001044932079415,0.6802721088435374,0.7143894273749787,0.05057279541654035,421
1.9149725437164307,0.23389874582689274,0.12919373512268068,0.003338530784393217,True,balanced,15,sqrt,3,4,775,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 775}",0.7948350071736011,0.7327586206896551,0.6508264462809917,0.7001044932079414,0.6819727891156463,0.7120994712935672,0.04914844742948053,565
1.7248924255371094,0.16201443168005025,0.12334685325622559,0.030143531890501788,True,balanced,15,sqrt,3,4,825,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 825}",0.7955523672883787,0.7337164750957854,0.6539256198347108,0.7011494252873564,0.6870748299319729,0.7142837434876409,0.04803781563432829,424
1.848289394378662,0.07559822195192215,0.11937942504882812,0.033760456188273245,True,balanced,15,sqrt,3,4,875,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 875}",0.7941176470588236,0.7365900383141762,0.652892561983471,0.7042842215256008,0.6862244897959184,0.714821791735598,0.048012008482043865,394
2.221321201324463,0.07179681962286065,0.13307509422302247,0.03880682409982488,True,balanced,15,sqrt,3,4,925,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 925}",0.7948350071736012,0.7385057471264368,0.6549586776859504,0.6969696969696969,0.6811224489795918,0.7132783155870553,0.0489674753443887,481
2.3075801849365236,0.10475922858280463,0.10231308937072754,0.03526631939912882,True,balanced,15,sqrt,3,4,975,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 4, 'n_estimators': 975}",0.7991391678622668,0.7385057471264368,0.6539256198347108,0.7001044932079415,0.6802721088435374,0.7143894273749787,0.05057279541654035,421
1.7359549045562743,0.08075798957778911,0.07267599105834961,0.005380301069484881,True,balanced,15,sqrt,3,5,775,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 775}",0.7948350071736011,0.7327586206896551,0.6508264462809917,0.7001044932079414,0.6819727891156463,0.7120994712935672,0.04914844742948053,565
1.9978866100311279,0.09236882796596015,0.10080490112304688,0.030738173006376036,True,balanced,15,sqrt,3,5,825,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 825}",0.7955523672883787,0.7337164750957854,0.6539256198347108,0.7011494252873564,0.6870748299319729,0.7142837434876409,0.04803781563432829,424
2.086229991912842,0.08826343620969548,0.08967208862304688,0.027048838372160593,True,balanced,15,sqrt,3,5,875,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': 15, 'max_features': 'sqrt', 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 875}",0.7941176470588236,0.7365900383141762,0.652892561983471,0.7042842215256008,0.6862244897959184,0.714821791735598,0.048012008482043865,394
