task,target,model,criterion,threshold,precision,recall,f1
picnicScene,PictureNamingScore,full,max_f1,0.36130580965624337,0.5135135135135135,0.36538461538461536,0.42696629213483145
picnicScene,PictureNamingScore,full,recall>=0.80,0.07206746958006399,0.12316715542521994,0.8076923076923077,0.25471698113207547
