target,task,model,fold,r2,rmse,mae,estimator
PictureNamingScore,picture_description_1min,full,0,-0.027823864019799416,2.3289458771051597,1.6946604836016979,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,1,0.22271701229143848,2.295516811502103,1.663902530102642,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,2,0.28980596874055864,2.4430764736300605,1.8317715912410553,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,3,0.35778309501237815,2.1468261810853746,1.5746213133624702,RandomForestRegressor
PictureNamingScore,picture_description_1min,full,4,0.17033759826349426,2.7750354601115834,1.8885553276915517,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,0,-0.03304376836594991,2.3348522776231144,1.6961192358808719,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,1,0.27417322795841614,2.2182341550900397,1.6340782107948284,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,2,0.3470729820799412,2.3425068661318176,1.737277388276411,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,3,0.35983325391829035,2.14339676883346,1.59942755693085,RandomForestRegressor
PictureNamingScore,picture_description_2min,full,4,0.21576862173185163,2.6979875413383887,1.834389602961483,RandomForestRegressor
PictureNamingScore,picture_description,full,0,-0.009414943226010442,2.3079952589531936,1.6894005029207797,RandomForestRegressor
PictureNamingScore,picture_description,full,1,0.295183994886813,2.185892375699954,1.6476485042725892,RandomForestRegressor
PictureNamingScore,picture_description,full,2,0.36625663116604923,2.3078377162807033,1.6908735324667534,RandomForestRegressor
PictureNamingScore,picture_description,full,3,0.39069788826047036,2.091088232263888,1.5522598497468927,RandomForestRegressor
PictureNamingScore,picture_description,full,4,0.2423575879698635,2.6518562067102343,1.8026469087131958,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,0,0.18184701326163555,5.2834131687290045,4.131630380247305,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,1,0.11244161593920554,5.253809412307218,4.200335664296567,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,2,0.14345959744305714,4.845840622445707,4.031642931800453,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,3,0.12983633637850767,5.515921651895395,4.182509764255022,RandomForestRegressor
SemanticFluencyScore,picture_description_1min,full,4,0.17843958837251694,5.109683033078619,3.9784107329734097,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,0,0.199863094301289,5.224917836640177,4.0729742996557174,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,1,0.20174008898094997,4.982508043879293,4.025243252521986,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,2,0.16964802291190062,4.771185607485778,3.948154102765379,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,3,0.1535449746289408,5.440258806937257,4.156421643023527,RandomForestRegressor
SemanticFluencyScore,picture_description_2min,full,4,0.2040496740068224,5.0294117388147415,3.951793847115445,RandomForestRegressor
SemanticFluencyScore,picture_description,full,0,0.2079575890254446,5.198422009917071,4.010287127900905,RandomForestRegressor
SemanticFluencyScore,picture_description,full,1,0.19841772150244308,4.992865907283129,4.027419196060728,RandomForestRegressor
SemanticFluencyScore,picture_description,full,2,0.18174553393782356,4.736302059107093,3.8903395126467792,RandomForestRegressor
SemanticFluencyScore,picture_description,full,3,0.16463683153259012,5.40449697851352,4.134780378006643,RandomForestRegressor
SemanticFluencyScore,picture_description,full,4,0.18734776768285122,5.081905383749304,3.967093464262922,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,0,0.0856333923909195,4.565434307111015,3.5989675351785873,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,1,0.028436603374146774,4.522564027261047,3.6612724204730793,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,2,0.03877999252834774,4.511317610977861,3.654823983743274,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,3,0.04903675882801495,4.331108020092061,3.547349130380856,RandomForestRegressor
PhonemicFluencyScore,picture_description_1min,full,4,0.08837500588460456,4.486857746145932,3.4738077172119395,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,0,0.06612732893489859,4.613874236715805,3.6232848998538794,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,1,0.04590870791695145,4.481713784936967,3.640677389910259,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,2,0.018478730865856496,4.55870889530289,3.688831473945736,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,3,0.062150392940149346,4.301141703232304,3.511114951727509,RandomForestRegressor
PhonemicFluencyScore,picture_description_2min,full,4,0.08422891005308919,4.497049348288322,3.440126330215034,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,0,0.07374484313189633,4.595018230649364,3.630961961272514,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,1,0.06225958302840928,4.443144822095171,3.5826332796069376,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,2,0.03179004990411771,4.527690933619559,3.6290261778485786,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,3,0.057919163233760784,4.310833362569365,3.5157392935866834,RandomForestRegressor
PhonemicFluencyScore,picture_description,full,4,0.07961440780031803,4.508365259401174,3.4502074630037685,RandomForestRegressor
