Subgroup,Score,n,MeanDiff(Auto-Manual),95%CI_low,95%CI_high,Paired_t_pvalue,p_adj
Overall,PictureNaming,40,-0.675,-0.9193973083573701,-0.43060269164263,1.9428603998280985e-06,
UK,PictureNaming,20,-0.85,-1.2867987836403683,-0.4132012163596316,0.0006485609919354636,0.0038913659516127816
US,PictureNaming,20,-0.5,-0.740086324725405,-0.2599136752745949,0.0003378816380309765,0.0023651714662168357
Male,PictureNaming,15,-0.6666666666666666,-1.1649235294832878,-0.16840980385004556,0.012359523203640137,0.03707856961092041
Female,PictureNaming,25,-0.68,-0.9649874500148385,-0.39501254998516155,5.032602692805939e-05,0.0004026082154244751
UK Male,PictureNaming,8,-0.75,-1.7239348997989419,0.22393489979894188,0.11141646787533989,0.11141646787533989
UK Female,PictureNaming,12,-0.9166666666666666,-1.4204903422682431,-0.41284299106509015,0.0020701528805041366,0.010350764402520684
US Male,PictureNaming,7,-0.5714285714285714,-1.0657794179743816,-0.07707772488276121,0.030019745287544374,0.06003949057508875
US Female,PictureNaming,13,-0.46153846153846156,-0.7750911968656908,-0.1479857262112323,0.007532147111056781,0.030128588444227125
