target,model,A,B,mean_diff,ci_low,ci_high,p_raw,p_adj,adjust,n_subjects,n_boot
PictureNamingScore,full,picnicScene,journaling,0.15488298096885955,0.07439066134168547,0.22867830978274126,0.0,0.0,holm,959,1000
PictureNamingScore,full,picnicScene,cookieTheft,0.08279560053669208,0.027516401434414778,0.14528652108665707,0.003,0.015,holm,959,1000
PictureNamingScore,full,cookieTheft,journaling,0.0720873804321675,-0.007554873836110536,0.14699198496863133,0.078,0.312,holm,959,1000
SemanticFluencyScore,full,picnicScene,cookieTheft,-0.02846197289399062,-0.08282097257114557,0.025397052411001864,0.304,0.9119999999999999,holm,970,1000
SemanticFluencyScore,full,picnicScene,journaling,-0.02439232755825381,-0.0822114972964384,0.03329390469294349,0.425,0.9119999999999999,holm,970,1000
SemanticFluencyScore,full,cookieTheft,journaling,0.004069645335736808,-0.05189897354727875,0.060108353808584536,0.844,0.9119999999999999,holm,970,1000
