Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
378,20.0,16.0,21.0
379,17.0,19.0,27.0
381,12.0,18.0,21.0
382,10.0,17.0,17.0
384,14.0,19.0,26.0
385,18.0,19.0,21.0
386,18.0,17.0,27.0
387,22.0,18.0,25.0
388,17.0,18.0,16.0
389,10.0,18.0,0.0
390,13.0,19.0,12.0
392,18.0,20.0,23.0
393,7.0,18.0,12.0
394,12.0,18.0,22.0
395,14.0,20.0,28.0
396,15.0,16.0,28.0
397,15.0,16.0,27.0
399,12.0,19.0,20.0
400,12.0,19.0,28.0
401,12.0,18.0,20.0
402,21.0,20.0,19.0
403,14.0,19.0,22.0
404,13.0,18.0,25.0
406,17.0,19.0,25.0
407,17.0,19.0,26.0
409,22.0,20.0,30.0
410,10.0,19.0,18.0
411,21.0,18.0,28.0
415,21.0,16.0,26.0
416,18.0,17.0,18.0
417,12.0,20.0,20.0
419,19.0,17.0,21.0
420,10.0,19.0,25.0
421,14.0,11.0,26.0
423,16.0,19.0,31.0
424,20.0,20.0,27.0
425,18.0,14.0,18.0
427,15.0,17.0,17.0
428,22.0,17.0,17.0
429,17.0,20.0,26.0
430,20.0,15.0,25.0
431,14.0,19.0,25.0
432,19.0,18.0,24.0
433,12.0,19.0,15.0
434,23.0,18.0,23.0
436,11.0,20.0,24.0
437,3.0,14.0,20.0
438,11.0,16.0,18.0
439,16.0,20.0,17.0
441,15.0,18.0,26.0
443,19.0,19.0,16.0
444,15.0,17.0,11.0
445,22.0,19.0,31.0
446,14.0,20.0,24.0
447,10.0,18.0,18.0
448,22.0,17.0,15.0
449,15.0,18.0,22.0
450,13.0,14.0,17.0
451,15.0,18.0,25.0
454,19.0,19.0,27.0
455,9.0,17.0,15.0
459,12.0,20.0,21.0
461,16.0,19.0,19.0
462,11.0,17.0,25.0
463,14.0,12.0,17.0
464,11.0,13.0,15.0
465,26.0,14.0,21.0
466,11.0,15.0,19.0
467,29.0,16.0,25.0
468,25.0,17.0,29.0
