Subject_ID,picnicScene,cookieTheft,journaling
41,69.72,69.6,62.4
43,127.8,125.22,80.22
44,67.92,81.84,73.2
46,77.21797916666667,65.596375,67.22177083333334
49,84.36,66.84,64.92
50,148.08,89.28,183.032
54,87.30933333333333,63.38133333333333,91.8
56,89.52,43.72229166666666,92.82
59,63.96,67.98,123.66
61,57.6,54.48,64.08
83,64.08,62.4,69.3
84,73.14,65.94,66.0
85,109.5,72.18,66.06
86,190.02,156.12,170.22
88,71.53866666666667,66.61866666666667,68.50133333333333
89,107.64,67.02,87.84
90,73.94133333333333,42.992,50.12266666666667
91,69.72,67.26,68.1
92,82.79075,65.7995625,77.03220833333333
93,68.16,60.96,70.08
97,64.85066666666667,60.730666666666664,72.53066666666666
98,76.14,,61.44
99,84.36,47.28,120.6
101,114.78,70.98,88.62
102,95.44533333333334,81.6,121.19466666666666
103,70.68,68.10933333333334,80.65066666666667
104,81.66133333333333,67.50933333333333,83.16
105,106.44,80.04,136.02
107,68.69066666666667,63.312,69.94933333333333
109,76.26,65.28,112.86
110,85.98,83.76,122.52
111,92.64,22.86,67.26
112,89.52,61.74,72.12
115,72.24,64.98,73.86
119,71.1,60.78,71.4
120,81.54,71.52,78.3
122,321.4293333333333,181.17066666666668,194.26933333333332
123,84.81866666666667,67.41866666666667,82.84
124,136.32,107.16,105.54
127,79.62,70.74,63.6
128,126.42,58.2,179.88
129,76.62,42.12,96.78
130,93.36,123.48,78.42
132,179.64,102.3,149.16
133,71.86577083333333,139.5135,102.2461875
134,35.88,45.24,117.9
135,78.84,83.46,99.96
136,64.08,47.58,64.74
137,97.74,62.64,250.08
138,69.84,10.5,67.5
139,86.52,61.38,82.2
140,290.752,168.256,173.84533333333334
141,40.02,21.54,103.62
142,69.06,70.26,91.8
143,53.52,33.0,79.56
145,20.94,18.18,62.4
146,77.58,64.86,66.12
147,34.32,60.6,69.72
149,149.31466666666665,99.37066666666666,173.39466666666667
150,83.4,69.0,74.16
151,93.66,68.7,76.38
152,88.74,63.84,70.68
153,60.3,60.78,60.54
154,49.02,36.3,36.54
157,63.9,62.04,67.56
158,68.64,64.02,84.0
160,82.62,65.94,63.78
162,77.58,65.34,77.7
163,22.02,32.04,61.8
165,71.4,75.9,80.28
169,61.02,65.7,60.3
170,80.28,48.72,89.1
172,77.16,59.76,83.82
173,64.56,63.0,82.2
174,66.96,63.12,71.88
175,79.02,84.96,79.56
176,77.46,65.52,67.98
177,92.46,96.96,91.98
179,60.71147916666666,65.86920833333333,63.288895833333335
183,74.1,62.64,62.76
184,204.42,135.06,98.4
185,63.18,65.82,97.38
186,120.54,71.76,102.24
188,71.16,62.46,59.94
189,114.66,87.66,92.58
190,39.54,26.34,123.84
193,65.94,63.24,62.04
195,62.4,61.74,61.02
196,63.9,32.04,61.26
197,70.44,64.38,70.14
198,48.18,32.52,35.64
199,139.08,90.84,78.48
200,75.53451247165533,60.62730158730159,63.15827664399093
201,78.53066666666666,51.61866666666667,83.05866666666667
202,62.58,63.12,62.64
203,81.54,79.74,117.0
204,60.84,60.3,61.38
205,102.90133333333333,80.61866666666667,97.96266666666666
206,72.06,83.76,129.72
207,62.34,74.76,64.98
208,73.56,108.36,65.58
209,62.1,64.2,62.34
210,87.06,76.5,109.14
211,73.68,65.46,65.22
212,68.88,65.88,
213,88.98,98.82,92.34
214,62.4,64.68,62.58
215,105.60691666666666,71.64,103.8
216,56.04,47.76,96.84
217,103.8,66.96,123.42
218,271.8,97.14,274.14
219,109.44,68.46,96.78
220,62.64,62.4,62.7
222,67.98,63.18,60.24
224,68.97489583333333,65.21325,100.58885416666666
225,96.0,87.3,228.66
226,62.88,60.6,61.8
228,64.752,63.89066666666667,61.56
229,150.06,156.3,188.4
230,69.66,62.88,67.02
232,61.8,61.86,121.92
233,64.62,65.82,62.46
234,60.24,63.66,86.94
237,67.26,60.6,73.02
239,76.02,80.52,78.66
241,76.14,61.44,61.74
242,180.42,108.0,448.08
243,69.18,68.52,67.56
244,63.6,64.68,61.74
247,61.62,60.96,61.62
248,66.9,69.48,82.74
249,63.78,34.5,96.96
250,79.8,64.32,64.8
251,113.34,75.42,76.2
252,69.37066666666666,60.688,71.61866666666667
253,60.12,60.18,
254,66.42,64.98,61.86
257,80.4,64.38,106.08
258,82.38,64.14,88.56
260,89.28,57.42,61.68
261,76.44,61.8,61.8
262,109.14,81.18,70.62
263,49.98,33.6,62.76
264,71.88,60.6,77.4
266,65.82,59.58,90.48
267,89.04,62.7,85.5
268,73.14,61.74,120.9
269,67.38,61.08,61.98
270,121.8,102.3,86.22
271,70.2,63.54,69.36
272,97.82933333333334,73.24,122.552
274,84.0,89.88,69.24
275,74.44266666666667,65.22933333333333,90.30933333333333
276,79.57866666666666,73.16,114.312
277,59.82,59.88,60.72
278,64.44,61.38,122.1
279,66.48,70.74,85.14
282,64.14,69.12,68.64
283,72.78,61.92,85.44
284,76.44,65.88,97.5
288,95.16,61.74,95.34
289,76.32,61.62,60.36
290,76.98,62.88,62.34
291,76.02,66.18,64.86
292,93.12,73.26,68.94
293,78.06,70.2,83.46
294,64.62,64.62,60.3
295,90.66,75.6,90.78
297,60.48,61.74,61.2
298,34.68,28.2,60.66
300,68.05866666666667,63.85066666666667,67.86133333333333
301,,71.16,63.41866666666667
303,37.44,26.7,67.74
304,76.92,63.66,80.22
305,110.04,136.62,71.64
306,81.3,66.72,75.72
311,75.2,73.25066666666666,68.02133333333333
312,68.76,66.18,62.28
314,80.76,59.58,87.6
315,75.12,69.06,74.28
318,68.88,93.0,101.58
319,70.98,66.48,61.92
321,89.88,72.36,125.1
322,62.22,61.98,74.52
324,71.82,43.56,76.02
325,67.8,63.54,80.88
326,76.2,67.2,74.22
327,108.36,60.66,115.32
328,86.88,63.24,107.04
329,73.62,84.96,72.72
330,62.52,62.4,62.94
331,73.98,64.08,70.2
335,62.29866666666667,61.13066666666667,66.24533333333333
336,65.64,65.52,129.84
337,66.3,63.66,71.46
338,61.56,60.42,61.74
339,62.1,61.56,64.74
341,187.74,89.7,109.26
342,75.3,72.6,64.86
343,62.34,68.4,88.74
344,115.32,79.32,125.52
345,62.4,62.28,65.28
346,108.42,66.66,118.56
347,75.84,65.58,84.6
348,70.02,61.68,88.2
349,70.92,62.58,73.26
354,114.78,91.2,95.4
355,107.22,76.68,84.54
356,113.76,92.82,82.26
357,61.51466666666666,60.93866666666667,63.413333333333334
358,60.66,60.18,62.58
359,91.08,70.14,128.16
360,70.44,65.16,61.08
361,60.66,60.9,60.96
362,59.76,33.18,62.7
363,71.37066666666666,73.104,74.872
364,86.82,63.6,143.64
365,74.64,46.8,82.08
366,83.28997732426303,63.506575963718824,64.6443537414966
367,93.9,76.08,74.04
368,62.34,60.54,64.86
369,76.59466666666667,67.688,67.072
371,79.26,74.22,112.5
372,76.32,67.68,71.4
373,87.53066666666666,64.81066666666666,73.472
374,83.1,61.5,91.62
375,129.48,108.9,85.56
376,87.82933333333334,64.69333333333333,101.51466666666667
377,78.06,73.56,98.52
378,76.2,62.34,75.66
379,66.06,77.52,63.66
381,39.98133333333333,26.378666666666668,73.56
382,199.98,109.26,140.94
384,62.4,61.62,66.48
385,28.512,17.824,50.65866666666667
386,73.92,68.1,70.08
387,67.68,63.78,87.84
388,67.08,61.98,73.5
389,56.52,33.72,65.1
390,10.38,62.28,88.26
392,66.66666666666667,59.8735,73.99466666666666
393,64.15673469387755,68.54530612244898,69.21868480725624
394,80.7,73.62,94.26
395,69.42,67.86,64.32
396,71.88,61.2,60.78
397,99.66,65.28,73.86
399,59.93066666666667,60.02133333333333,65.77866666666667
400,61.92,61.98,59.88
401,93.36,50.04,143.22
402,66.84,71.46,96.12
