score_x,score_y,r,p_raw,p_corr,r2,n
PictureNamingScore,SemanticFluencyScore,0.30545754671995257,8.371978722630824e-23,1.6743957445261647e-22,0.093304312848172,989
PictureNamingScore,PhonemicFluencyScore,0.13235709558155323,2.9728776390501996e-05,2.9728776390501996e-05,0.017518400750784417,989
SemanticFluencyScore,PhonemicFluencyScore,0.35908907892026465,1.8157362825297291e-31,5.447208847589188e-31,0.12894496659980406,989
