task,target,model,criterion,best_threshold,precision,recall,f1,threshold
picnicScene,PictureNamingScore,linguistic,max_f1,0.38955604053960263,0.5526315789473685,0.38181818181818183,0.4516129032258065,
picnicScene,PictureNamingScore,linguistic,recall>=0.80,,0.15357766143106458,0.8,,0.09721867560487368
