task,target,model,criterion,best_threshold,precision,recall,f1,threshold
picnicScene,PhonemicFluencyScore,linguistic,max_f1,0.20248990060958313,0.18468468468468469,0.5694444444444444,0.2789115646258503,
picnicScene,PhonemicFluencyScore,linguistic,recall>=0.80,,0.14948453608247422,0.8055555555555556,,0.13014444169566722
