score,mean,std,low_threshold,high_threshold,n,low_n,not_low_n,low_prop,not_low_prop
PhonemicFluencyScore,15.239520958083832,4.6403644240589355,10.599156534024896,19.879885382142767,1002,147,855,0.1467065868263473,0.8532934131736527
PictureNamingScore,17.384848484848487,2.7535018107333022,14.631346674115184,20.138350295581787,990,115,875,0.11616161616161616,0.8838383838383839
SemanticFluencyScore,20.760479041916167,5.698424600460443,15.062054441455723,26.45890364237661,1002,170,832,0.16966067864271456,0.8303393213572854
