task,target,model,threshold_type,auroc,auprc,sensitivity,specificity,accuracy,precision,npv,f1,balanced_accuracy,mcc,tp,fp,tn,fn,threshold,best_threshold,J,recall
picnicScene,PhonemicFluencyScore,acoustic,baseline_predict,0.5308742898665609,0.1695607837854732,0.006944444444444444,0.990487514863258,0.8467005076142132,0.1111111111111111,0.8534836065573771,0.013071895424836602,0.4987159796538512,-0.009535313615692204,1,8,833,143,,,,
picnicScene,PhonemicFluencyScore,acoustic,youdenJ,0.5308742898665609,,0.375,0.7158145065398336,0.665989847715736,0.18430034129692832,0.869942196531792,0.2471395881006865,0.5454072532699168,0.07018553487994147,54,239,602,90,0.25103970681924953,0.25103970681924953,0.09081450653983358,
picnicScene,PhonemicFluencyScore,acoustic,max_f1,0.5308742898665609,,0.8958333333333334,0.14982164090368608,0.25888324873096447,0.1528436018957346,0.8936170212765957,0.2611336032388664,0.5228274871185097,0.04605603710664444,129,715,126,15,0.11704410837136497,0.11704410837136497,,0.8958333333333334
picnicScene,PhonemicFluencyScore,acoustic,recall>=0.80,0.5308742898665609,,0.8055555555555556,0.2235434007134364,0.3086294416243655,0.1508452535760728,0.8703703703703703,0.25410733844468786,0.514549478134496,0.024846579511814675,116,653,188,28,0.13847194750361774,,,0.8055555555555556
