task,target,model,threshold_type,auroc,auprc,sensitivity,specificity,accuracy,precision,npv,f1,balanced_accuracy,mcc,tp,fp,tn,fn,threshold,best_threshold,J,recall
picnicScene,PhonemicFluencyScore,acoustic+linguistic,baseline_predict,0.5815662571013345,0.21282135941795172,0.013888888888888888,0.9976218787158145,0.8538071065989847,0.5,0.855249745158002,0.02702702702702703,0.5057553838023517,0.06394683149417074,2,2,839,142,,,,
picnicScene,PhonemicFluencyScore,acoustic+linguistic,youdenJ,0.5815662571013345,,0.3402777777777778,0.8359096313912009,0.7634517766497462,0.2620320855614973,0.8809523809523809,0.29607250755287007,0.5880937045844894,0.15872007657032178,49,138,703,95,0.26889043187809214,0.26889043187809214,0.1761874091689788,
picnicScene,PhonemicFluencyScore,acoustic+linguistic,max_f1,0.5815662571013345,,0.3402777777777778,0.835909631391201,0.7634517766497462,0.2620320855614973,0.8809523809523809,0.29607250755287007,0.5880937045844894,0.15872007657032178,49,138,703,95,0.26889043187809214,0.26889043187809214,,0.3402777777777778
picnicScene,PhonemicFluencyScore,acoustic+linguistic,recall>=0.80,0.5815662571013345,,0.8055555555555556,0.2390011890606421,0.3218274111675127,0.15343915343915343,0.8777292576419214,0.2577777777777778,0.5222783723080988,0.03726610970616757,116,640,201,28,0.13875323546669113,,,0.8055555555555556
