threshold_type,target_recall,threshold,accuracy_ci_high,accuracy_ci_low,accuracy_mean,auprc_ci_high,auprc_ci_low,auprc_mean,auroc_ci_high,auroc_ci_low,auroc_mean,balanced_accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_mean,f1_ci_high,f1_ci_low,f1_mean,mcc_ci_high,mcc_ci_low,mcc_mean,npv_ci_high,npv_ci_low,npv_mean,precision_at_target_ci_high,precision_at_target_ci_low,precision_at_target_mean,precision_ci_high,precision_ci_low,precision_mean,recall_at_target_ci_high,recall_at_target_ci_low,recall_at_target_mean,sensitivity_ci_high,sensitivity_ci_low,sensitivity_mean,specificity_ci_high,specificity_ci_low,specificity_mean,threshold_ci_high,threshold_ci_low,threshold_mean
baseline_0.50,,0.5,0.9105858170606372,0.8715313463514902,0.8921109969167523,0.4117413667064884,0.23172942501851831,0.3165871238586699,0.7238611978395895,0.6107266459120846,0.6692336020527446,0.610289767298862,0.5414013397081527,0.5739834315341665,0.34838709677419355,0.16053759703394743,0.2531621619759326,0.3624786872407511,0.16430348889160512,0.2663096216688001,0.9203017817961758,0.8827275770047378,0.9023349622174884,,,,0.75,0.399848484848485,0.5804114992422449,,,,0.23637559808612438,0.09674614305750352,0.16299051138140055,0.9919819017512406,0.9756655746828229,0.9849763516869326,,,
youdenJ,,0.13211787553784077,0.5734840698869476,0.5097636176772867,0.5412374100719426,0.4117413667064884,0.23172942501851831,0.3165871238586699,0.7238611978395895,0.6107266459120846,0.6692336020527446,0.6663699358377071,0.5779926912601232,0.6232983829810582,0.30925671278612454,0.2183019396656757,0.26396714112214587,0.21321309103922062,0.09697795050336669,0.1560402343696445,0.957178013268013,0.914468984962406,0.9375030170637437,,,,0.19336561618890977,0.12935672375797716,0.1613864849949021,,,,0.8073394495412844,0.6422018348623854,0.7293063201854069,0.5501772663568052,0.48383278269609103,0.5172904457767095,,,
max_f1,,0.37112728021929675,0.89827852004111,0.8602261048304214,0.8797769784172661,0.4117413667064884,0.23172942501851831,0.3165871238586699,0.7238611978395895,0.6107266459120846,0.6692336020527446,0.6597494786692626,0.5776199169954556,0.6187085531866513,0.430629939993127,0.25640243902439025,0.34469323888920483,0.384347801631752,0.19799975714216825,0.29250185605643536,0.9305001724732667,0.8945101077609151,0.9126365505006198,,,,0.5690270935960591,0.3283523787313433,0.44889203549000023,,,,0.36365760407816483,0.19827392047219633,0.28144008163941225,0.96878612716763,0.9418604651162791,0.9559770247338905,,,
recall80_fixed,,0.10781691657227578,0.4881808838643371,0.4244604316546763,0.45676772867420345,0.4117413667064884,0.23172942501851831,0.3165871238586699,0.7238611978395895,0.6107266459120846,0.6692336020527446,0.6493300022303281,0.5652509661224333,0.6075560150082651,0.29087608595560316,0.20689400499159577,0.24996177591397736,0.19295050160284016,0.08420439672621408,0.1395535145606081,0.9658203125,0.9175816869300911,0.9424597966627639,,,,0.17742002353822287,0.12045862513080577,0.1482260701928688,,,,0.8780540827147402,0.7264749262536873,0.8023517316976497,0.44496619975514784,0.3800505454109562,0.4127602983188806,,,
recall>=0.80_reselect,0.8,,0.55603802672148,0.3133864337101748,0.44558273381294966,,,,0.7238611978395895,0.6107266459120846,0.6692336020527446,0.664961899179367,0.5315072378537893,0.6037648504090457,0.30340768685079655,0.20052076969562876,0.24920879792335593,0.21179158418458624,0.042584677282944065,0.1351604777693474,,,,0.1861358968665871,0.11454853683058948,0.14770390197749425,0.1861358968665871,0.11454853683058948,0.14770390197749425,0.8260980479148181,0.8,0.8081600973666302,0.8260980479148181,0.8,0.8081600973666302,0.5250274546695144,0.2519457464425048,0.3993696034514614,0.13365965793695356,0.07350980417868978,0.10633342257206733
