task,target,model,threshold_type,auroc,auprc,sensitivity,specificity,accuracy,precision,npv,f1,balanced_accuracy,mcc,tp,fp,tn,fn,threshold,best_threshold,J,recall
picnicScene,PhonemicFluencyScore,full,baseline_predict,0.5766366098559916,0.20825572076361681,0.013888888888888888,0.9964328180737217,0.8527918781725888,0.4,0.8551020408163266,0.026845637583892617,0.5051608534813053,0.051313628899835796,2,3,838,142,,,,
picnicScene,PhonemicFluencyScore,full,youdenJ,0.5766366098559916,,0.4236111111111111,0.741973840665874,0.6954314720812182,0.21942446043165467,0.8826025459688827,0.2890995260663507,0.5827924758884925,0.1299774477930041,61,217,624,83,0.23673241467952824,0.23673241467952824,0.16558495177698518,
picnicScene,PhonemicFluencyScore,full,max_f1,0.5766366098559916,,0.4236111111111111,0.7419738406658739,0.6954314720812182,0.21942446043165467,0.8826025459688827,0.2890995260663507,0.5827924758884925,0.1299774477930041,61,217,624,83,0.23673241467952824,0.23673241467952824,,0.4236111111111111
picnicScene,PhonemicFluencyScore,full,recall>=0.80,0.5766366098559916,,0.8055555555555556,0.24019024970273484,0.32284263959390863,0.15364238410596026,0.8782608695652174,0.25806451612903225,0.5228729026291452,0.038202618098077144,116,639,202,28,0.14157092910251193,,,0.8055555555555556
