TrainingSize%,Test_R2
10,-1.4341526188194615
20,-0.4116169701866266
30,-0.2376788795497189
40,-0.1391618371975265
50,-0.10419967991078227
60,-0.03540974466456204
70,-0.023061812620319477
80,0.0022216374536960792
90,0.00824793315634842
100,-0.0017198583590509742
