model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high,rmse_mean,mae_mean
baseline,-0.00603039109415322,0.005547923186420449,0.0024811066757566723,-0.010893360178636298,-0.0011674220096701427,5.686029123205207,4.523210385371769
demographics,0.07111691313777299,0.02229806810182547,0.00997199920852029,0.05157179468907322,0.09066203158647276,5.463356609086342,4.30171947186939
linguistic,0.10154688144640514,0.018438082862060275,0.00824576133086813,0.08538518923790361,0.11770857365490667,5.295800614355184,4.149392893154044
acoustic,-0.009838596443487413,0.17200410971343194,0.07692257634571313,-0.16060684608108516,0.14092965319411033,5.665554668640079,4.433955108995274
linguistic+acoustic,-0.013244172657627895,0.08486935341742499,0.037954728689563275,-0.08763544088917191,0.06114709557391612,5.62265205956894,4.354492030416306
full,0.014753522995677648,0.10052530301598345,0.04495628220050072,-0.07336079011730377,0.10286783610865906,5.540982683558444,4.307098949301317
