task,target,model,criterion,threshold,precision,recall,f1
picnicScene,SemanticFluencyScore,linguistic+acoustic,max_f1,0.2872118650671819,0.3300970873786408,0.4657534246575342,0.38636363636363635
picnicScene,SemanticFluencyScore,linguistic+acoustic,recall>=0.80,0.13714911462329735,0.1891025641025641,0.8082191780821918,0.3761467889908257
