Subject_ID,n_words,mattr_10,mattr_30,filler_word_ratio,average_word_length,brunets_index,honores_statistic,guirauds_statistic,light_verb_ratio,nid_ratio,aoa_content,aoa_nouns,aoa_verbs,fam_content,fam_nouns,img_content,img_nouns,freq_content,freq_nouns,freq_verbs,concr_content,concr_nouns,concr_verbs,ADJ,ADP,ADV,AUX,CCONJ,DET,NOUN,PART,PRON,SCONJ,VERB,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,INFORMATION_WORDS,phonation_rate,speech_rate_phonemes,n_pauses,total_pause_duration,avg_pause_duration,short_pause_count,pause_word_ratio,pause_rate,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_amean
276,226,0.9364055299539190,0.8165820642978010,0.0265486725663716,3.81858407079646,12.042061575613800,1349.1109331522100,7.450129178662680,0.3636363636363640,0.079646017699115,4.8863040000000000,5.064180585365850,4.319090909090910,597.6153846153850,594.5555555555560,429.46153846153800,465.44444444444400,838.740793878527,290.3046389287420,2057.778966131910,3.418271604938270,3.9487804878048800,2.942272727272730,0.0863636363636363,0.0818181818181818,0.059090909090909,0.05,0.059090909090909,0.1227272727272730,0.2,0.0,0.1545454545454550,0.009090909090909,0.1,2.0,0.7727272727272730,0.6136363636363640,0.5,1.0754716981132100,0.3909090909090910,0.7705227797606840,7.173350129470220,19,26.22000000000030,1.380000000000010,2,0.297683923705714,0.1662117712926030,0.0515936203300952,1.6127386093139600
277,126,0.9529914529914540,0.8577319587628850,0.0238095238095238,4.055555555555560,10.403404866820500,1865.4230212527100,7.216053531635460,0.4090909090909090,0.0238095238095238,4.787055150943400,4.906,4.30904761904762,574.3333333333330,521.6666666666670,447.5,609.6666666666670,1320.4465408805000,256.08921568627500,2728.8786181139100,3.230566037735850,3.9875000000000000,2.8638095238095200,0.104,0.048,0.024,0.112,0.032,0.072,0.16,0.04,0.192,0.016,0.176,0.9090909090909090,1.2,0.45,0.6363636363636360,0.953125,0.44,0.7534584980237370,8.316864295125160,14,14.940000000000200,1.067142857142880,0,0.3265573770491770,0.230566534914361,0.0695902034640312,1.850304126739500
278,295,0.9335664335664340,0.8072681704260670,0.0576271186440678,3.854237288135590,13.165990381867000,1323.3154194560000,7.044892367848940,0.3928571428571430,0.023728813559322,4.699986898989900,4.872056041666670,4.288571428571430,588.4285714285710,,417.57142857142900,,911.760588235294,325.85294117647100,2112.968487394960,3.3826000000000000,4.104583333333330,2.9839285714285700,0.0881355932203389,0.0779661016949152,0.1152542372881360,0.0576271186440678,0.0711864406779661,0.0711864406779661,0.1627118644067800,0.0033898305084745,0.1694915254237290,0.0101694915254237,0.0949152542372881,1.7142857142857100,1.0416666666666700,0.4375,0.6071428571428570,1.1532846715328500,0.3491525423728810,0.904422604422635,9.131859131859130,13,11.640000000000100,0.8953846153846240,2,0.105406139635966,0.1064701064701060,0.0472527183592319,1.367845058441160
279,180,0.9333333333333350,0.8331125827814550,0.0055555555555555,3.994444444444450,10.964196362335700,2177.0472951809000,8.124380318249240,0.3666666666666670,0.0111111111111111,5.432392378048780,5.400487804878050,5.170666666666670,567.8,551.8571428571430,530.1,566.7142857142860,634.885461501674,221.08799617407900,1322.1705882352900,3.7107317073170700,4.25170731707317,3.310333333333330,0.0611111111111111,0.1222222222222220,0.0611111111111111,0.0333333333333333,0.0333333333333333,0.0777777777777777,0.2333333333333330,0.0166666666666666,0.1722222222222220,0.0055555555555555,0.1666666666666670,1.4,0.7380952380952380,0.3333333333333330,0.2,1.1686746987951800,0.4611111111111110,0.8238195912614810,8.362696734789760,13,14.970000000000000,1.151538461538460,5,0.2134302822925500,0.1526896875734090,0.040629468858242,1.2549704313278200
282,94,0.941176470588236,0.8712820512820510,0.0531914893617021,4.127659574468090,9.908565278418190,1683.6915957824100,6.497953851430400,0.4,0.0425531914893617,5.112933885714290,4.994998083333330,4.225333333333330,,,,,1552.0526610644300,517.9754901960780,3039.0091503268000,3.030571428571430,3.7183333333333300,2.8400000000000000,0.0851063829787234,0.0638297872340425,0.0957446808510638,0.0744680851063829,0.0106382978723404,0.0531914893617021,0.1276595744680850,0.0106382978723404,0.2127659574468090,0.0106382978723404,0.1595744680851060,0.8,1.6666666666666700,0.4166666666666670,0.4666666666666670,1.2926829268292700,0.3723404255319150,0.7491258741258950,5.725524475524480,15,17.19000000000040,1.146000000000030,2,0.3343057176196010,0.2185314685314690,0.0214463677257299,0.9628363847732540
283,236,0.9726872246696040,0.8600644122383260,0.0211864406779661,3.957627118644070,11.704882799683200,1639.149541507680,8.201901391791900,0.4210526315789470,0.0423728813559322,5.458429000000000,6.05484893023256,4.882894736842110,558.0,558.0,532.5,532.5,1076.9708110516900,259.1855905152760,2115.6434468524300,3.4225287356321800,4.082142857142860,2.8507894736842100,0.0296610169491525,0.1101694915254240,0.0508474576271186,0.0677966101694915,0.0211864406779661,0.0805084745762711,0.1864406779661020,0.0466101694915254,0.1864406779661020,0.0381355932203389,0.1610169491525420,1.1578947368421100,1.0,0.4318181818181820,0.4210526315789470,0.8153846153846150,0.3771186440677970,0.9578651685393550,10.61563670411990,6,3.5700000000000100,0.5950000000000020,3,0.0436217008797642,0.0702247191011236,0.0831377059221267,1.8998262882232700
284,290,0.9423487544484010,0.8338441890166060,0.0551724137931034,3.717241379310350,12.438661059863100,1511.9682461281400,7.986194985399970,0.5238095238095240,0.0413793103448275,5.201196418181820,5.533774153846160,4.544285714285710,526.3333333333330,508.8,464.1666666666670,502.2,1172.7044817927200,268.1608569353670,2614.735294117650,3.394732142857140,4.0612962962963000,2.824285714285710,0.0551724137931034,0.1344827586206900,0.0482758620689655,0.0310344827586206,0.0448275862068965,0.0827586206896551,0.1862068965517240,0.0137931034482758,0.1620689655172410,0.0241379310344827,0.1448275862068970,1.2857142857142900,0.8703703703703700,0.4444444444444440,0.2142857142857140,0.9594594594594590,0.4034482758620690,0.9809230769231070,10.574358974359000,2,1.8300000000000100,0.9150000000000040,0,0.0191342534504386,0.0205128205128205,0.0486856959760189,1.772741198539730
288,198,0.9619047619047630,0.8753451676528610,0.0202020202020202,3.964646464646470,11.586504992383300,1303.619314543300,7.533091977898240,0.3793103448275860,0.0505050505050505,5.034683569444450,5.033035647058820,4.799642857142860,583.25,544.0,380.0,547.0,1046.8780553317200,435.6355247981550,2008.6896551724100,3.314027777777780,3.9314705882352900,2.864642857142860,0.05,0.115,0.08,0.055,0.055,0.085,0.17,0.015,0.18,0.01,0.145,1.1724137931034500,1.0588235294117600,0.5,0.3793103448275860,0.941747572815534,0.365,0.9087476400252030,7.856093979442000,2,8.670000000000000,4.335000000000000,0,0.100069252077559,0.0209775540172015,0.0453477166593074,1.4741973876953100
289,117,0.9490740740740740,0.8170454545454540,0.0085470085470085,3.717948717948720,10.182290590569500,2321.559793213910,7.211102550927980,0.5625,0.0512820512820512,4.127165630434780,4.131739130434780,4.03,586.0,582.6666666666670,483.75,559.6666666666670,1302.7446808510600,358.3995098039220,3044.7757352941200,3.4380434782608700,4.313478260869570,2.615625,0.0683760683760683,0.0854700854700854,0.0683760683760683,0.0341880341880341,0.0769230769230769,0.0683760683760683,0.2136752136752140,0.0427350427350427,0.1709401709401710,0.017094017094017,0.1367521367521370,1.5625,0.8,0.32,0.25,1.0172413793103400,0.4188034188034190,0.7360834990059850,7.057654075546720,16,15.90000000000030,0.9937500000000170,2,0.3578663065496240,0.2650762094102050,0.067086823284626,1.6748449802398700
290,123,0.9692982456140360,0.8613475177304960,0.065040650406504,3.951219512195120,10.53910624004340,1662.390959128650,6.852689223472490,0.3333333333333330,0.040650406504065,4.954173255319150,5.0531476,4.563333333333330,541.0,541.0,660.0,660.0,959.3771380892780,370.164705882353,2186.4104575163400,3.495319148936170,3.896000000000000,3.2646666666666700,0.056910569105691,0.089430894308943,0.048780487804878,0.056910569105691,0.048780487804878,0.0975609756097561,0.2113821138211380,0.008130081300813,0.1463414634146340,0.032520325203252,0.1219512195121950,1.7333333333333300,0.6923076923076920,0.4615384615384620,0.4666666666666670,1.05,0.3983739837398370,0.7738209817132130,7.410972088546680,4,14.069999999999900,3.517499999999970,0,0.2916666666666540,0.0641642605068976,0.0488997437059879,1.22550368309021
