Subject_ID,n_words,mattr_10,mattr_30,filler_word_ratio,average_word_length,brunets_index,honores_statistic,guirauds_statistic,light_verb_ratio,nid_ratio,aoa_content,aoa_nouns,aoa_verbs,freq_content,freq_nouns,freq_verbs,concr_content,concr_nouns,concr_verbs,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,PRON,VERB,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,information_words,phonation_rate,total_speech_duration,speech_rate_phonemes,n_pauses,total_pause_duration,avg_pause_duration,pause_rate,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_amean,article_pause_contentword,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile20.0,eGeMAPS_F0semitoneFrom27.5Hz_sma3nz_percentile50.0,eGeMAPS_F3amplitudeLogRelF0_sma3nz_stddevNorm,eGeMAPS_logRelF0-H1-A3_sma3nz_amean,eGeMAPS_loudness_sma3_amean,eGeMAPS_loudness_sma3_percentile20.0,eGeMAPS_mfcc3_sma3_amean,eGeMAPS_mfcc3V_sma3nz_amean,eGeMAPS_slopeUV0-500_sma3nz_amean,eGeMAPS_slopeV0-500_sma3nz_amean
300,131,0.8762295081967214,0.679084967320262,0.0,3.5267175572519083,11.64123458997302,1642.1717299203876,5.591705962630643,0.4090909090909091,0.0,4.428258245614037,4.518256470588235,4.344090909090909,1076.6326109391127,277.06516724336797,2355.5855614973266,4.201052631578946,4.805882352941175,3.310909090909091,0.0076335877862595,0.1297709923664122,0.0076335877862595,0.0534351145038167,0.0076335877862595,0.2366412213740458,0.0,0.2595419847328244,0.1221374045801526,0.1679389312977099,1.5454545454545454,0.4705882352941176,0.9117647058823528,0.3181818181818182,0.7945205479452054,0.4351145038167939,0.7255505018927494,49.3800000000015,6.450317341654664,17,18.660000000000306,1.0976470588235472,0.2497844984239847,0.0366073139011859,1.2758903503417969,10.0,30.097335815429688,33.82822799682617,-0.8625679016113281,28.97406005859375,0.6601089835166931,0.0108494590967893,-0.123511865735054,-3.775607109069824,0.0357653126120567,0.1014566347002983
303,100,0.9065934065934068,0.7985915492957748,0.0,3.86,10.350559990763696,1560.641007473742,6.1,0.3,0.05,4.304989813953487,4.078020071428571,4.909,874.5275877792977,351.16806722689074,2477.5019607843137,3.801627906976744,4.341428571428572,2.9690000000000003,0.05,0.12,0.03,0.05,0.07,0.17,0.01,0.28,0.11,0.1,2.8,0.3928571428571428,0.6071428571428571,0.5,0.8867924528301887,0.43,0.8621794871795048,32.280000000000655,9.134615384615383,6,5.130000000000003,0.8550000000000004,0.1602564102564102,0.0320917144417762,1.3196238279342651,3.0,26.589784622192383,28.293380737304688,-0.9533967971801758,32.1484489440918,0.7204959988594055,0.1380736827850341,7.139984130859375,14.067296028137209,0.0246945042163133,0.0481898672878742
304,181,0.9441860465116294,0.8484649122806999,0.0386740331491712,3.955801104972376,11.114540812334631,1968.002447550634,7.8789179502199636,0.375,0.0552486187845303,5.035917463768117,4.768409090909091,4.929375,644.5484672742338,183.3838779956427,2023.8823529411768,3.81676056338028,4.221777777777778,3.1506250000000007,0.0558659217877094,0.106145251396648,0.0726256983240223,0.0670391061452514,0.0223463687150838,0.1564245810055866,0.0335195530726257,0.2513966480446927,0.1117318435754189,0.0893854748603352,2.8125,0.4444444444444444,0.6222222222222222,0.75,1.0340909090909092,0.3966480446927374,0.9804992199688266,75.42000000000215,8.697347893915756,3,1.4700000000000042,0.4900000000000014,0.0390015600624025,0.0434127040207386,1.3579559326171875,7.0,32.46567916870117,33.9445686340332,-0.9540046453475952,27.409149169921875,0.9207733869552612,0.2130898833274841,-3.294430732727051,-4.1622700691223145,0.0497526749968528,0.0816302075982093
305,293,0.9278169014084524,0.7790404040404038,0.0204778156996587,3.9249146757679183,12.420014772739368,1567.7276400887104,8.062046082150406,0.2,0.0273037542662116,4.808011672897199,5.0677607096774215,4.297714285714285,1012.6745817593091,700.8370098039217,1752.9585434173666,4.039716981132077,4.627540983606558,3.280571428571428,0.0340136054421768,0.119047619047619,0.0340136054421768,0.0408163265306122,0.0612244897959183,0.1666666666666666,0.0170068027210884,0.2176870748299319,0.1700680272108843,0.119047619047619,1.8285714285714283,0.78125,0.765625,0.3428571428571428,0.7396449704142012,0.3809523809523809,0.8664122137404878,95.34000000000329,9.51472191930207,17,14.670000000000122,0.8629411764705954,0.1544892766266812,0.0495600961148738,1.3719521760940552,10.0,26.123558044433594,27.4892635345459,-1.0470050573349,20.676910400390625,0.988235354423523,0.0414473749697208,16.783447265625,20.838151931762695,0.0713443830609321,0.0474277921020984
306,154,0.9248275862068968,0.7674666666666664,0.0324675324675324,4.136363636363637,11.193410309505436,1804.9080158648835,6.93007749061827,0.125,0.0194805194805194,4.461607323076924,4.573784545454544,4.099333333333333,421.5118835412953,177.72549019607845,996.674019607843,4.235000000000001,4.572727272727274,3.65625,0.0389610389610389,0.1363636363636363,0.0324675324675324,0.0194805194805194,0.0584415584415584,0.1818181818181818,0.0194805194805194,0.2857142857142857,0.1168831168831168,0.1038961038961039,2.75,0.4090909090909091,0.6363636363636364,0.1875,0.9493670886075948,0.4285714285714285,0.8136531365313907,66.15000000000207,7.3677736777367775,12,15.120000000000244,1.2600000000000202,0.1476014760147601,0.0516076236963272,1.37999165058136,4.0,27.15450096130371,29.84293556213379,-0.892781674861908,33.73885726928711,0.6807485818862915,0.0466959848999977,-1.8910870552062988,-3.5146894454956055,0.021458962932229,0.0691545754671096
311,216,0.9246376811594222,0.7803921568627434,0.0277777777777777,3.7083333333333335,11.794457332128248,1881.347442689458,7.620634755325443,0.1764705882352941,0.0231481481481481,5.081670698630138,5.177672018181818,4.837647058823529,577.2167461579228,192.20483193277315,1794.363321799308,4.233972602739728,4.547090909090908,3.254117647058824,0.0093023255813953,0.1581395348837209,0.0465116279069767,0.0186046511627906,0.0511627906976744,0.1813953488372093,0.0186046511627906,0.2604651162790697,0.1534883720930232,0.0790697674418604,3.2941176470588234,0.5892857142857143,0.6964285714285714,0.2352941176470588,0.72,0.3581395348837209,0.859707446808537,64.65000000000198,9.893617021276595,16,10.5300000000001,0.6581250000000062,0.2127659574468085,0.0366316549479961,1.339378833770752,5.0,26.570220947265625,28.374656677246097,-1.0434006452560425,19.836673736572266,0.8797787427902222,0.082890510559082,8.43700122833252,11.709280967712402,0.1161680072546005,0.0694153159856796
312,148,0.8992805755395691,0.74201680672269,0.1081081081081081,3.702702702702702,11.359711805278597,2077.788261196659,6.493759998561614,0.375,0.0945945945945946,4.797858240740742,5.0078384285714295,4.431875,851.260348583878,198.07619047619048,2238.8872549019607,4.1664814814814815,4.638857142857144,3.255,0.0202702702702702,0.054054054054054,0.054054054054054,0.027027027027027,0.0608108108108108,0.1689189189189189,0.1148648648648648,0.2364864864864864,0.1216216216216216,0.1081081081081081,2.1875,0.5142857142857142,0.7142857142857143,0.25,1.144927536231884,0.3716216216216216,0.8717277486911249,59.94000000000175,7.300756253635834,12,8.79000000000009,0.7325000000000075,0.1745200698080279,0.0357764959335327,1.2479565143585205,4.0,26.94054794311523,28.010940551757812,-0.972380757331848,20.693675994873047,0.9313042163848876,0.1263492107391357,7.223396301269531,9.66204833984375,0.0243840031325817,0.0141940154135227
314,210,0.8910447761194037,0.7629834254143657,0.019047619047619,3.557142857142857,11.999885929147352,1853.663943982056,7.1766818171604845,0.4230769230769231,0.0142857142857142,4.572742717948722,4.5511741599999995,4.525769230769231,1059.1213700670146,274.85236447520185,2666.529411764706,4.075569620253164,4.6460784313725485,3.0276923076923077,0.0095693779904306,0.1004784688995215,0.0478468899521531,0.0574162679425837,0.0526315789473684,0.1722488038277512,0.0047846889952153,0.2488038277511961,0.1626794258373205,0.124401913875598,2.0,0.6538461538461539,0.6923076923076923,0.4615384615384615,0.7711864406779662,0.3875598086124402,0.9543090638930444,77.07000000000227,8.580980683506686,4,3.660000000000033,0.9150000000000084,0.0495294700346706,0.0433798320591449,1.2975927591323853,14.0,27.345272064208984,29.635011672973633,-1.1709471940994265,21.908960342407227,1.0105187892913818,0.2749568819999695,-0.4134271740913391,-0.1973461657762527,0.0539054274559021,0.0857605338096618
315,161,0.9302631578947378,0.7540404040404038,0.0124223602484472,3.937888198757764,11.228230970615202,2078.7563311300073,7.092993656151906,0.2,0.0434782608695652,4.338930827586207,4.458277444444445,3.8946666666666663,668.8035947712422,178.41021671826627,1656.3071895424837,4.171206896551724,4.646756756756757,3.4179999999999997,0.04375,0.11875,0.05,0.01875,0.075,0.18125,0.00625,0.24375,0.15,0.09375,2.6,0.6153846153846154,0.7435897435897436,0.2,0.797752808988764,0.38125,0.7983226837060945,59.970000000001825,7.747603833865814,19,15.12000000000025,0.7957894736842237,0.2529286474973375,0.0632585361599922,1.310493230819702,12.0,14.894831657409668,30.059600830078125,-0.9827946424484252,25.403736114501953,0.6670003533363342,0.254434198141098,0.6670649647712708,1.7604148387908936,0.0018772212788462,0.0228192210197448
318,135,0.8960317460317467,0.7389937106918246,0.0296296296296296,3.814814814814815,11.53188086458806,1450.2551518861444,5.852508167602319,0.2857142857142857,0.0148148148148148,4.727752160714288,4.793951820512821,4.487857142857143,762.8806022408965,552.9150326797385,1473.558823529412,4.230357142857143,4.519230769230769,3.64,0.0222222222222222,0.1407407407407407,0.0148148148148148,0.0148148148148148,0.0666666666666666,0.2222222222222222,0.0148148148148148,0.2888888888888888,0.0962962962962963,0.1037037037037037,2.7857142857142856,0.3333333333333333,0.7692307692307693,0.1428571428571428,0.8,0.4222222222222222,0.8405923344947976,57.900000000001654,6.852497096399536,14,10.950000000000188,0.7821428571428706,0.2032520325203252,0.0383776165544986,1.515271544456482,7.0,21.00998878479004,22.25970458984375,-0.8269194960594177,16.112199783325195,0.7235773801803589,0.1332214325666427,17.14406967163086,25.15753746032715,0.0057355822063982,-0.0049116928130388
