Subject_ID,n_words,ttr,mattr,filler_word_ratio,concreteness_score,aoa_average,average_word_length,brunets_index,honores_statistic,guirauds_statistic,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,NUM,PART,PRON,PROPN,SCONJ,VERB,OTHER,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,POS_ENTROPY,LEXICAL_DENSITY,speech_rate,pause_ratio,n_pauses,avg_pause_duration,articulation_rate,hesitation_ratio,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_amean
1106,129,0.6046511627906976,0.7792499999999997,0.0697674418604651,2.7322018348623858,4.274902175257734,4.0310077519379846,10.6784756622882,1895.326837701052,6.867517069339866,0.0393700787401574,0.1181102362204724,0.0314960629921259,0.0314960629921259,0.0472440944881889,0.1496062992125984,0.0472440944881889,0.2125984251968504,0.0157480314960629,0.0236220472440944,0.1259842519685039,0.0,0.0393700787401574,0.1181102362204724,0.0,1.8,0.5925925925925926,0.7037037037037037,0.2666666666666666,0.8142857142857143,2.293771019951953,0.4015748031496063,2.0894071914480077,0.1311953352769675,8.0,1.0124999999999966,2.4062674874089938,0.1360544217687068,0.0460909754037857,1.37303364276886
1107,156,0.5769230769230769,0.7347663551401865,0.0448717948717948,2.597910447761194,4.4201446153846184,3.756410256410256,11.06089793731692,1377.2334565226008,7.205766921228921,0.0,0.1032258064516129,0.0516129032258064,0.0709677419354838,0.0774193548387096,0.1741935483870967,0.0451612903225806,0.1935483870967742,0.0064516129032258,0.0193548387096774,0.1096774193548387,0.0064516129032258,0.0258064516129032,0.1161290322580645,0.0,1.6666666666666667,0.5666666666666667,0.9,0.6111111111111112,0.7032967032967034,2.263619308116327,0.3612903225806451,2.5365853658536586,0.0663414634146351,7.0,0.582857142857152,2.7182435964453022,0.0668292682926839,0.0429284647107124,1.4996473789215088
1112,33,0.7878787878787878,,0.0,2.8080645161290323,4.345580692307691,4.303030303030303,7.709925193528594,2272.729914953212,4.526019054848144,0.0,0.1212121212121212,0.0,0.0606060606060606,0.0303030303030303,0.2121212121212121,0.0303030303030303,0.3333333333333333,0.0,0.0303030303030303,0.0303030303030303,0.0,0.0303030303030303,0.1212121212121212,0.0,2.75,0.0909090909090909,0.6363636363636364,0.5,0.9411764705882352,1.9063600373983505,0.4545454545454545,1.3580246913580247,0.0160493827160495,2.0,0.1950000000000015,1.3819095477386842,0.0148148148148149,0.0643643587827682,1.3703702688217163
1113,112,0.5982142857142857,0.7428571428571431,0.0089285714285714,2.874215686274511,4.256687452380952,3.9107142857142856,10.567364280330152,1859.6436728045371,6.330904922904556,0.079646017699115,0.0707964601769911,0.0088495575221238,0.0973451327433628,0.0176991150442477,0.1858407079646017,0.0088495575221238,0.2123893805309734,0.0,0.0353982300884955,0.0973451327433628,0.0,0.0088495575221238,0.1769911504424778,0.0,1.2,0.4583333333333333,0.875,0.55,0.9482758620689656,2.105984014037556,0.4778761061946903,1.8140589569160996,0.0830903790087475,6.0,0.8550000000000124,1.979498055850071,0.091836734693879,0.0342573262751102,1.1986292600631714
1114,147,0.5850340136054422,0.787142857142857,0.0408163265306122,2.685426356589148,4.188810596330277,4.034013605442177,10.946479624845296,1300.536977160519,7.093160450043974,0.0476190476190476,0.0952380952380952,0.0544217687074829,0.0680272108843537,0.0340136054421768,0.1496598639455782,0.0340136054421768,0.2244897959183673,0.0,0.0340136054421768,0.1156462585034013,0.0,0.0136054421768707,0.1292517006802721,0.0,1.736842105263158,0.5151515151515151,0.6666666666666666,0.5263157894736842,0.96,2.247207614503864,0.4557823129251701,2.301862380479906,0.1207303330170071,5.0,1.541999999999998,2.618920363441932,0.1207303330170071,0.0361372046172618,1.3476946353912354
1115,113,0.5221238938053098,0.675625,0.0530973451327433,2.735377358490567,4.433077945652175,3.8761061946902657,11.159557385365694,1328.1708633525147,5.550253123463223,0.0353982300884955,0.079646017699115,0.0265486725663716,0.0707964601769911,0.0619469026548672,0.2212389380530973,0.0265486725663716,0.2743362831858407,0.0,0.0176991150442477,0.0530973451327433,0.0,0.0265486725663716,0.1061946902654867,0.0,2.5833333333333335,0.1935483870967742,0.8064516129032258,0.6666666666666666,0.8833333333333333,2.122557353667799,0.4424778761061947,1.8302559118885648,0.2852283770651155,15.0,1.1740000000000153,2.562358276643913,0.2852283770651155,0.0357653833925724,1.1956408023834229
1116,77,0.6883116883116883,0.7407142857142857,0.0,2.623943661971832,4.383399799999999,3.883116883116883,9.54611019315261,2092.924430529503,6.039910552360811,0.0259740259740259,0.1038961038961039,0.0129870129870129,0.1168831168831168,0.0,0.1168831168831168,0.0,0.1688311688311688,0.0,0.0649350649350649,0.1298701298701298,0.0,0.0779220779220779,0.1818181818181818,0.0,0.9285714285714286,0.7692307692307693,0.6923076923076923,0.6428571428571429,0.6382978723404256,2.1400832055458476,0.3896103896103896,1.9652884124553345,0.2465543644716756,2.0,4.830000000000126,2.611054594777849,0.2465543644716756,0.0342106334865093,1.250838279724121
1117,112,0.6339285714285714,0.754285714285714,0.0535714285714285,2.621505376344087,4.256066112500001,4.160714285714286,10.332756398887229,1456.5800863563115,6.708869395913783,0.0267857142857142,0.0714285714285714,0.0535714285714285,0.0714285714285714,0.0446428571428571,0.1339285714285714,0.0446428571428571,0.1875,0.0,0.0535714285714285,0.1428571428571428,0.0,0.0178571428571428,0.1517857142857142,0.0,1.2352941176470589,0.7619047619047619,0.7142857142857143,0.4705882352941176,0.8666666666666667,2.2842983421647687,0.4196428571428571,1.8148036025212613,0.2654150268687387,15.0,1.0920000000000176,2.4707699095521014,0.2654150268687387,0.0434161499142646,1.6158329248428345
1118,111,0.6126126126126126,0.7412903225806449,0.0,2.821052631578949,4.309763202531646,4.081081081081081,10.459841679319972,1601.2402684461938,6.454274371116994,0.0181818181818181,0.1454545454545454,0.0181818181818181,0.0545454545454545,0.0272727272727272,0.2,0.0,0.2545454545454545,0.0,0.0181818181818181,0.1454545454545454,0.0,0.0,0.1181818181818181,0.0,2.1538461538461537,0.5714285714285714,0.7857142857142857,0.4615384615384615,0.6923076923076923,1.9588702041361077,0.4090909090909091,1.8668012108980827,0.1740665993945523,10.0,1.035000000000008,2.261613691931476,0.1740665993945523,0.0381162837147712,1.3265687227249146
1119,114,0.4824561403508772,0.5898461538461541,0.0087719298245614,2.8574774774774783,4.246687395604396,3.701754385964912,11.529977326448996,1447.1717481205403,5.151221963699316,0.0263157894736842,0.1578947368421052,0.0,0.087719298245614,0.0701754385964912,0.2017543859649122,0.0087719298245614,0.2719298245614035,0.0087719298245614,0.0087719298245614,0.0701754385964912,0.0,0.0,0.087719298245614,0.0,3.1,0.2580645161290322,0.7419354838709677,1.0,0.6521739130434783,1.988696120847973,0.3859649122807017,1.8111337061514996,0.233540925266907,8.0,1.8375000000000248,2.36318407960192,0.2425965937976651,0.0510719008743763,1.5104446411132812
