Subject_ID,n_words,mattr_10,mattr_30,filler_word_ratio,average_word_length,brunets_index,honores_statistic,guirauds_statistic,light_verb_ratio,nid_ratio,aoa_content,aoa_nouns,aoa_verbs,fam_content,fam_nouns,fam_verbs,img_content,img_nouns,img_verbs,freq_content,freq_nouns,freq_verbs,concr_content,concr_nouns,concr_verbs,ADJ,ADP,ADV,AUX,CCONJ,DET,INTJ,NOUN,PRON,VERB,NOUN/VERB,PRON/NOUN,DET/NOUN,AUX/VERB,OPEN/CLOSED,INFORMATION_WORDS,phonation_rate,total_speech_duration,speech_rate_phonemes,n_pauses,total_pause_duration,avg_pause_duration,short_pause_count,pause_rate,eGeMAPS_jitterLocal_sma3nz_amean,eGeMAPS_shimmerLocaldB_sma3nz_amean
1332,332,0.9566563467492268,0.8513751375137532,0.0120481927710843,3.9006024096385543,11.86327741250516,1892.043989869078,9.65925487909275,0.2105263157894736,0.0481927710843373,4.9268929107142885,5.02315077586207,4.856052631578946,536.5,548.0,561.6666666666666,491.875,575.0,508.3333333333333,860.7065764358846,403.7763376537054,1761.519091847265,3.6058035714285728,4.3658620689655185,2.9515789473684206,0.0483383685800604,0.0634441087613293,0.066465256797583,0.0815709969788519,0.0634441087613293,0.1299093655589124,0.0181268882175226,0.1873111782477341,0.1873111782477341,0.1148036253776435,1.631578947368421,1.0,0.6935483870967742,0.7105263157894737,0.7891891891891892,0.3534743202416918,0.9389556724267788,149.9700000000051,7.4442774855998,17,9.720000000000184,0.5717647058823637,5,0.1064362634610568,0.031536228954792,1.3722795248031616
1334,317,0.9185064935064948,0.7722222222222215,0.0410094637223974,3.832807570977918,12.318585251664157,1915.460807398313,8.593336131416475,0.34375,0.0473186119873817,4.59390466929134,4.729710360000001,4.14375,579.0,557.0,599.3333333333334,452.72727272727275,535.3333333333334,365.3333333333333,920.8686274509806,387.3183091418386,2263.80024509804,3.990077519379847,4.449210526315791,3.2684375,0.0691823899371069,0.1320754716981132,0.0534591194968553,0.0283018867924528,0.0597484276729559,0.1540880503144654,0.0220125786163522,0.2421383647798742,0.1257861635220125,0.10062893081761,2.40625,0.5194805194805194,0.6363636363636364,0.28125,0.950920245398773,0.4119496855345912,0.6993644067796871,99.0300000000037,7.923728813559323,37,42.5400000000009,1.1497297297297542,2,0.2612994350282486,0.0481019876897335,1.534225583076477
1336,133,0.905645161290323,0.6932692307692307,0.0451127819548872,3.255639097744361,11.656820000122002,1869.8393725553767,5.63621480190678,0.1666666666666666,0.0,4.340633980392158,4.428139774193548,4.233333333333333,566.25,549.0,618.0,547.5,614.0,348.0,961.030336662967,317.06595365418895,2087.7026143790845,4.120999999999999,4.548387096774191,3.3947058823529415,0.0150375939849624,0.112781954887218,0.0075187969924812,0.0676691729323308,0.0526315789473684,0.2180451127819548,0.0526315789473684,0.2481203007518796,0.0902255639097744,0.1353383458646616,1.8333333333333333,0.3636363636363636,0.8787878787878788,0.5,0.8472222222222222,0.3984962406015037,0.9072978303747776,55.20000000000148,6.788297172912557,7,5.610000000000065,0.8014285714285807,1,0.1150558842866535,0.10980074852705,2.0192835330963135
1339,120,0.9801801801801804,0.8633699633699627,0.05,4.125,10.066293611391114,2207.565636949498,7.576828712154798,0.3846153846153846,0.0583333333333333,4.641237060000002,4.863333333333334,4.081538461538461,582.1666666666666,553.0,579.0,486.6666666666667,652.0,366.3333333333333,794.7677816224532,221.5458570524985,2458.0618401206634,3.9236,4.401666666666667,3.173076923076923,0.0588235294117647,0.0840336134453781,0.0336134453781512,0.0588235294117647,0.0168067226890756,0.1428571428571428,0.0504201680672268,0.2689075630252101,0.1512605042016806,0.1092436974789916,2.4615384615384617,0.5625,0.53125,0.5384615384615384,1.087719298245614,0.4453781512605042,0.751047778709158,53.760000000001526,6.258731489242805,13,17.79000000000042,1.3684615384615706,2,0.1816149762503492,0.0581958815455436,1.48979914188385
1340,270,0.919157088122608,0.7621023513139709,0.0259259259259259,3.851851851851851,12.237073785875255,2291.8539894649603,7.972406114797418,0.3181818181818182,0.0444444444444444,4.623941040404041,4.832363375000003,3.9081818181818178,545.3636363636364,540.0,568.3333333333334,532.1818181818181,537.1666666666666,477.3333333333333,1029.7458669742407,722.8972549019609,2246.417112299465,4.334848484848487,4.620694444444445,3.5318181818181817,0.0185873605947955,0.137546468401487,0.0334572490706319,0.0185873605947955,0.0780669144981412,0.20817843866171,0.0148698884758364,0.2825278810408922,0.1152416356877323,0.0817843866171003,3.4545454545454546,0.4078947368421052,0.7368421052631579,0.2272727272727272,0.7581699346405228,0.3903345724907063,0.939035697728358,121.53000000000408,7.26317416164426,9,7.860000000000049,0.8733333333333388,3,0.0695410292072322,0.0446134582161903,1.3507250547409058
1341,185,0.9221590909090924,0.7514957264957254,0.0756756756756756,3.5405405405405403,12.16423920390495,1816.6838271272572,6.396367212216127,0.2,0.0324324324324324,4.464778181818182,4.39353090909091,4.5095,529.2,524.4285714285714,572.0,549.0,550.1428571428571,503.5,757.4266191325014,315.37611408199643,1804.858823529412,4.2703030303030305,4.700681818181819,3.345,0.0108108108108108,0.0864864864864864,0.0216216216216216,0.0864864864864864,0.0702702702702702,0.1891891891891892,0.081081081081081,0.2378378378378378,0.0918918918918919,0.1081081081081081,2.2,0.3863636363636363,0.7954545454545454,0.8,0.8686868686868687,0.3621621621621622,0.9268060836502192,85.80000000000268,6.686398202557899,10,6.75000000000005,0.6750000000000049,2,0.1080193570687867,0.0638142749667167,1.5697916746139526
1344,178,0.8881656804733737,0.7306487695749447,0.0337078651685393,3.606741573033708,12.056146402039154,1631.302228795657,6.371019356464822,0.3333333333333333,0.0168539325842696,4.959902352112677,4.936797285714287,4.9961111111111105,508.1,490.8571428571428,548.3333333333334,491.6,553.8571428571429,346.3333333333333,707.1811654239162,304.73589435774306,1792.8605664488016,4.255774647887323,4.658367346938774,3.328888888888889,0.0224719101123595,0.1404494382022472,0.0224719101123595,0.0280898876404494,0.0505617977528089,0.2359550561797752,0.0337078651685393,0.2752808988764045,0.0786516853932584,0.1011235955056179,2.7222222222222223,0.2857142857142857,0.8571428571428571,0.2777777777777778,0.8350515463917526,0.4044943820224719,0.860882572924484,69.0600000000021,7.516828721017203,14,11.130000000000155,0.7950000000000111,5,0.1745200698080279,0.0549931786954402,1.330734372138977
