Subject_ID,PhonemicFluencyScore,PictureNamingScore,SemanticFluencyScore
593,15,19,23
594,18,19,24
596,14,18,29
597,14,18,20
598,19,18,17
600,14,18,33
602,20,19,17
603,15,17,30
604,12,17,17
605,11,18,26
606,20,19,27
607,17,19,14
609,11,19,17
610,6,19,19
611,15,17,15
612,3,17,13
613,15,19,24
614,16,11,17
615,11,17,25
617,13,16,15
618,17,17,24
619,23,18,29
620,19,19,26
621,25,19,31
622,22,20,33
623,23,18,24
624,17,19,28
625,16,19,19
626,14,18,17
627,16,19,25
628,6,20,16
629,4,15,13
631,22,18,28
632,14,8,19
633,17,20,5
636,7,18,5
637,15,19,22
638,21,18,26
640,10,20,13
641,10,18,15
643,8,19,24
644,16,20,24
645,14,18,22
646,16,17,22
647,8,17,11
648,13,19,15
649,21,15,17
650,15,17,16
651,14,17,12
652,7,15,15
653,14,16,17
655,16,20,20
656,19,18,20
657,19,19,25
659,17,20,37
660,12,17,21
661,13,13,20
662,10,18,17
663,9,18,19
664,16,20,28
665,18,17,16
666,20,19,29
667,24,20,23
668,10,19,19
669,16,19,23
670,11,18,26
671,14,18,17
672,9,19,26
673,14,19,22
674,20,17,27
675,16,17,20
676,16,18,27
677,16,18,23
678,12,20,11
679,18,18,16
680,14,19,22
681,21,19,33
682,16,18,24
683,17,18,21
684,18,16,26
688,9,14,22
689,13,20,35
690,13,18,13
691,13,19,18
692,17,19,25
693,13,16,26
694,22,19,19
696,16,15,16
697,14,20,21
698,8,18,18
701,18,18,26
702,14,18,19
703,16,15,24
704,15,20,17
705,15,14,17
706,11,17,22
707,17,18,29
708,14,20,21
709,18,17,25
710,14,19,18
712,13,19,14
713,24,20,22
714,12,17,21
717,21,16,25
719,16,19,23
720,14,19,18
721,19,16,23
722,16,18,24
723,11,20,18
724,20,18,27
725,12,19,17
727,8,19,15
728,6,19,24
729,16,18,28
732,4,14,17
733,10,19,16
734,9,19,19
735,17,15,19
737,8,15,19
738,17,15,19
739,15,19,32
741,9,19,13
742,19,20,17
743,16,16,9
744,16,20,31
745,14,14,15
747,20,19,14
748,19,20,24
749,12,20,28
750,4,8,14
753,14,19,21
754,17,15,18
755,4,8,15
756,18,2,16
757,11,19,20
758,12,14,17
760,16,18,18
761,23,19,25
762,10,19,21
763,23,16,26
764,11,20,17
765,16,18,23
766,20,19,31
767,13,17,18
768,14,20,24
769,15,19,27
770,12,19,19
771,12,16,16
772,18,17,23
773,9,17,15
774,9,11,13
775,19,17,22
776,11,18,20
777,16,19,13
778,13,17,17
779,12,20,21
780,17,20,18
781,12,20,17
782,7,14,26
783,16,18,23
784,10,17,13
786,20,18,20
787,19,18,26
788,21,18,15
789,11,18,28
790,16,20,26
791,19,19,19
793,17,20,24
794,19,14,25
796,10,19,19
797,16,16,1
799,15,17,17
800,21,20,22
801,22,20,27
802,11,9,16
803,15,18,26
805,19,19,22
807,11,20,22
808,14,17,19
809,6,18,15
811,39,20,29
812,13,19,21
814,10,13,16
816,9,13,12
819,20,18,26
820,18,18,17
821,2,17,11
822,22,18,24
823,18,17,17
824,16,20,25
826,12,16,24
827,12,17,23
828,11,20,24
829,11,20,23
830,12,17,22
831,22,13,21
833,26,18,24
834,14,17,20
835,16,19,17
836,19,17,25
838,10,19,28
839,23,20,33
840,11,19,21
841,19,20,28
842,10,20,20
843,17,17,15
844,10,20,14
845,17,18,32
847,23,19,31
848,13,17,15
849,11,14,26
851,12,16,21
852,11,15,18
853,12,20,20
854,16,19,23
855,23,20,18
856,12,19,15
857,17,19,20
858,17,15,18
859,18,18,25
862,19,19,19
863,22,16,31
864,9,19,23
866,7,18,22
867,18,8,21
868,12,18,18
871,15,19,15
872,16,17,15
873,20,17,21
874,21,19,29
875,12,18,20
876,14,17,26
877,15,18,20
883,11,20,21
884,19,20,23
885,10,12,14
887,19,18,26
888,17,16,18
889,15,18,18
890,13,18,14
891,10,19,26
892,18,19,19
893,8,15,12
894,16,19,19
895,15,20,24
897,23,20,16
898,16,17,23
899,15,18,16
901,23,20,23
902,19,18,33
903,11,15,21
904,17,18,28
906,14,19,24
908,11,19,20
909,14,17,27
910,10,17,14
911,18,18,23
912,16,18,17
913,13,17,16
914,17,17,10
916,11,16,26
917,21,15,28
918,13,18,23
919,14,17,18
920,24,17,23
921,12,18,15
922,10,3,11
923,16,19,6
924,12,17,20
927,13,19,22
928,9,18,22
929,12,19,11
931,24,19,26
932,16,15,20
933,18,18,36
934,15,20,23
935,14,18,18
936,17,19,27
938,26,18,23
941,23,17,23
942,13,18,19
943,18,17,11
944,19,8,11
945,13,12,21
947,15,19,16
948,9,12,15
950,10,16,3
951,10,8,11
952,15,7,8
953,14,12,10
954,13,18,15
956,12,16,22
957,21,9,16
958,10,20,24
960,18,20,22
962,15,17,15
963,14,18,20
964,14,18,16
965,17,16,18
966,24,19,26
967,11,19,23
968,20,13,21
969,5,19,18
970,11,18,18
971,19,18,19
972,7,17,17
973,24,17,18
975,20,19,23
979,16,19,17
981,21,20,28
982,16,16,23
983,19,18,27
984,13,14,20
985,14,15,30
986,9,20,30
988,15,19,26
989,20,19,25
991,19,18,30
993,13,17,22
994,15,6,15
997,16,19,24
998,9,17,16
999,13,17,17
1000,18,17,22
1001,14,15,17
1002,24,20,23
1003,13,11,15
1004,15,18,24
1005,13,18,14
1006,10,19,23
1007,17,20,26
1008,17,20,29
1009,17,18,18
1010,18,20,30
1011,15,17,18
1012,18,20,31
1013,13,19,23
1014,7,19,26
1015,16,17,23
1016,21,16,23
1017,14,18,22
1018,21,18,23
1019,13,17,25
1020,9,18,17
1021,8,18,17
1022,14,19,12
1023,28,19,27
1024,16,19,24
1025,20,20,16
1026,13,20,18
1027,12,14,12
1028,16,18,23
1029,11,17,25
1030,19,15,22
1032,10,20,19
1036,20,11,21
1037,23,19,25
1038,14,19,21
1039,11,17,19
1040,27,15,31
1041,18,18,25
1044,13,20,14
1045,18,18,25
1046,10,20,13
1047,13,18,21
1048,25,20,23
1049,10,19,19
1050,12,15,18
1051,18,18,22
1052,17,20,28
1053,16,14,17
1054,12,17,19
1055,6,18,9
1056,17,18,17
1057,14,17,15
1058,24,19,22
1059,25,19,31
1060,14,15,26
1061,11,9,2
1062,14,18,19
1063,15,18,17
1065,7,18,14
1067,19,17,28
1069,15,17,22
1070,14,19,19
1071,13,11,17
1072,17,19,25
1073,19,17,13
1074,11,20,28
1075,5,18,31
1079,14,,19
1080,21,15,17
1082,10,17,21
1083,13,19,28
1086,13,19,22
1087,11,19,21
1088,23,19,19
1089,9,20,21
1090,23,19,28
1093,13,18,15
1094,16,19,25
1095,10,15,13
1096,11,20,16
1097,23,18,0
1098,14,15,15
1099,11,19,16
1100,22,18,23
1101,10,16,21
1102,12,14,17
1104,15,15,22
1105,17,18,17
1106,12,17,17
1107,11,19,15
1112,22,15,16
1113,16,8,24
1114,13,20,23
1115,13,15,15
1116,15,17,16
1117,13,18,16
1118,11,20,22
1119,14,18,18
1120,18,18,20
1123,15,18,21
1124,13,20,31
1125,6,8,24
1128,10,18,9
1130,11,19,16
1131,16,19,25
1132,20,20,21
1133,16,19,12
1134,15,17,22
1135,19,15,16
1136,19,19,20
1138,15,19,18
1139,11,20,18
1140,23,19,17
1141,16,20,26
1142,18,17,15
1144,16,15,16
1146,10,19,24
1147,25,17,30
1148,16,16,16
1149,20,20,37
1150,14,17,20
1152,17,20,18
1155,11,16,21
1160,17,17,28
1161,24,19,19
1162,8,15,19
1164,13,20,27
1165,17,13,31
1166,18,19,24
1167,17,20,23
1168,13,20,26
1169,14,17,21
1170,11,13,17
1172,15,19,22
1174,10,10,14
1175,13,20,22
1176,11,4,8
1177,21,20,33
1179,18,19,23
1180,11,19,18
1183,11,19,26
1185,21,20,22
1186,17,17,26
1188,19,10,22
1189,23,18,20
1190,16,19,25
1191,8,20,23
1192,25,17,14
1193,16,20,29
1194,13,20,19
1195,17,19,3
1196,14,19,21
1198,20,19,23
1199,12,20,24
1200,19,17,17
1201,22,19,26
1202,15,16,12
1203,16,16,22
1204,11,17,21
