target,model,threshold_type,auroc_mean,auroc_ci_low,auroc_ci_high,auprc_mean,auprc_ci_low,auprc_ci_high,sensitivity_mean,sensitivity_ci_low,sensitivity_ci_high,specificity_mean,specificity_ci_low,specificity_ci_high,accuracy_mean,accuracy_ci_low,accuracy_ci_high,precision_mean,precision_ci_low,precision_ci_high,f1_mean,f1_ci_low,f1_ci_high,mcc_mean,mcc_ci_low,mcc_ci_high,threshold,task
PictureNamingScore,demographics,baseline_0.50,0.5482972728533785,0.4913488006703932,0.6098405185028194,0.19730405535446396,0.13510973746793656,0.2685056256587203,0.23607371865952093,0.16064379699248127,0.3148273273273273,0.8625831517102392,0.8404133180252583,0.8851917988274156,0.7918429158110882,0.7679671457905544,0.8151950718685832,0.1793237876198474,0.11918812852587689,0.24162637041977572,0.20319645405584755,0.13844827586206898,0.26718763302023324,0.08764181928885403,0.0148241572976783,0.1577962941759414,0.5,picnicScene
PictureNamingScore,demographics,max_f1,,,,,,,0.3494492206534917,0.09081027667984198,0.9500403225806451,0.7314924526745707,0.09285052910052911,0.967458547438682,0.6862173742433622,0.18976545842217485,0.8731486202527734,0.24791827001343586,0.105703005797986,0.5004999999999995,0.255434296478347,0.18347997925496717,0.35296380090497737,0.08159613027903115,-0.025473283431614736,0.20499233017707527,,picnicScene
PictureNamingScore,demographics,recall>=0.80,,,,,,,0.8678826241771177,0.7272727272727273,0.9622641509433962,0.2057226066530964,0.13774259703881553,0.3341759208356239,0.28492622153208597,0.22290497448979593,0.38963756443298964,0.108217042735033,0.08026592731634717,0.14012826961770622,0.22447735350709655,0.17387937668333978,0.27586206896551724,0.060418111819155004,-0.017743053073016275,0.12894961573764252,,picnicScene
PictureNamingScore,acoustic,baseline_0.50,0.6585715872674641,0.5996713077708768,0.7124658523937794,0.3140219222075656,0.23389090899771972,0.3984682044601646,0.1458003192866934,0.08661228043609934,0.21102806260118726,0.982623805769479,0.9733170906866511,0.9907514450867052,0.8881365503080083,0.8685831622176592,0.9065708418891171,0.5165980542385226,0.3333333333333333,0.6923611111111111,0.22614854537766804,0.14083956866197184,0.3129251700680272,0.2305435022854061,0.13060605743803266,0.32873542695750674,0.5,picnicScene
PictureNamingScore,acoustic,max_f1,,,,,,,0.340904296445598,0.16391769822683172,0.8597265221878224,0.8905157747669192,0.3347745750184775,0.9908272554387578,0.8245611977054581,0.3991252287405279,0.9079801552522849,0.3207308360534427,0.14282269177767573,0.5911363636363635,0.3096280493514461,0.21847075463848906,0.41861572535991143,0.25588902791741364,0.10815997684890344,0.43077286069161974,,picnicScene
PictureNamingScore,acoustic,recall>=0.80,,,,,,,0.8288113755606823,0.7192845394736842,0.9166666666666666,0.38730901710578625,0.28603003599565335,0.4751831182420649,0.44008489586846167,0.3494061969439729,0.5140435960245132,0.13198074571264645,0.09470669677440623,0.17212380011293052,0.26127926742453417,0.19680672268907565,0.32329005656648263,0.14572820040745785,0.060699316248289475,0.2227310780294988,,picnicScene
PictureNamingScore,linguistic,baseline_0.50,0.7538763847835623,0.6989517145219717,0.8089176561341279,0.42331889185375793,0.32709784977092937,0.5151158751784222,0.20745507583225656,0.13513513513513514,0.2857453416149068,0.9852066453235473,0.9764047169811321,0.9929583642204102,0.8973952772073922,0.87782340862423,0.9158110882956879,0.6412483888204038,0.4782091097308489,0.8,0.31197038390957504,0.2158273381294964,0.407433489827856,0.3240625378713628,0.2213521075698436,0.41944791531253106,0.5,picnicScene
PictureNamingScore,linguistic,max_f1,,,,,,,0.4132884413569955,0.16061799719887965,0.707741935483871,0.9178079838665599,0.7953426218469984,0.9884533210587372,0.857518493245386,0.775966568354869,0.911578947368421,0.5055699950025477,0.271291640477687,0.7742831541218637,0.4645881848757432,0.36111111111111105,0.5697208321067607,0.3476314549425145,0.2226794303444243,0.47511286301118427,,picnicScene
PictureNamingScore,linguistic,recall>=0.80,,,,,,,0.8985481264491741,0.6739019520851819,0.9833401639344261,0.3358986831856133,0.09044858523119395,0.7709011983370015,0.4029837369314441,0.19143928956511322,0.7605677006826234,0.14050657313996281,0.0852512406947891,0.2808270676691728,0.2724672046679139,0.18803418803418803,0.40218745900564074,0.1684298908658673,0.013347991094710828,0.3278890558149695,,picnicScene
PictureNamingScore,linguistic+acoustic,baseline_0.50,0.7497357402884889,0.6920681948435655,0.8015557594546063,0.4306217663761569,0.3393824386617117,0.5222417430119665,0.19077428826822307,0.125,0.2653248455345441,0.9920611321057938,0.9858526776644185,0.9976553341148886,0.9016006160164272,0.8829312114989734,0.9188911704312115,0.7539791518830644,0.5925925925925926,0.9090909090909091,0.3030268115803533,0.2097873900293255,0.402374806401652,0.34613412271943605,0.25445293544632747,0.4423323106411943,0.5,picnicScene
PictureNamingScore,linguistic+acoustic,max_f1,,,,,,,0.4182422572553183,0.19030612244897974,0.7605791465209165,0.9204731476187473,0.7317443977591037,0.9904545944138006,0.8604970676194142,0.730089015134175,0.9148566458962499,0.43002608753460203,0.23075539568345327,0.6818779904306219,0.41750710422172405,0.31166309418736604,0.527153488372093,0.3612033289129538,0.23423043028591586,0.49054922829352693,,picnicScene
PictureNamingScore,linguistic+acoustic,recall>=0.80,,,,,,,0.8943776281659133,0.6665254237288136,1.0,0.3532473933116305,0.15741044440156934,0.7403857002959147,0.41778746871050815,0.24804405023243803,0.7309925196694388,0.14188789354590914,0.08808082901554404,0.24511812921890064,0.2744482820449726,0.20174197285666998,0.38393820028011205,0.177595235168262,0.08678928287359544,0.3020419640508097,,picnicScene
PictureNamingScore,full,baseline_0.50,0.7591355282282785,0.704749907936485,0.8131482881576444,0.4474327264715162,0.35800294723554016,0.5369137477263561,0.18175926915897977,0.11818002863278454,0.25807123655913977,0.9919857514741264,0.9852578231292517,0.9976744186046511,0.900517453798768,0.8808778234086243,0.917864476386037,0.7430621057430117,0.5769230769230769,0.9,0.2906519476678592,0.2,0.3916154791154791,0.33432885989753597,0.23871294671810353,0.4273690600660461,0.5,picnicScene
PictureNamingScore,full,max_f1,,,,,,,0.4220838583755437,0.1935483870967742,0.6740143699336771,0.9196594075433299,0.815528513950844,0.9934458004307251,0.8600915935042306,0.7864054167376408,0.9163179542203147,0.4588752559522973,0.26666666666666666,0.6956521739130435,0.45083487209899165,0.3420560329394917,0.5669450947010002,0.3595690091307481,0.23378385588614636,0.4924543524199395,,picnicScene
PictureNamingScore,full,recall>=0.80,,,,,,,0.9064410496749244,0.7399782608695652,0.9836065573770492,0.3498085367848364,0.15172413793103448,0.668268691588785,0.41622970874593046,0.24210025062656643,0.6838924532405394,0.1402074170905877,0.09004485852311941,0.2290080322149963,0.27762437292024833,0.19772505591032793,0.3987196071536219,0.18178989928155465,0.0720904554846172,0.32997854317367126,,picnicScene
