model,r2_mean,r2_std,r2_se,r2_ci_low,r2_ci_high,rmse_mean,mae_mean
baseline,-0.00603039109415322,0.005547923186420449,0.0024811066757566723,-0.010893360178636298,-0.0011674220096701427,5.686029123205207,4.523210385371769
demographics,0.07111691313777299,0.02229806810182547,0.00997199920852029,0.05157179468907322,0.09066203158647276,5.463356609086342,4.30171947186939
linguistic,0.10154688144640514,0.018438082862060275,0.00824576133086813,0.08538518923790361,0.11770857365490667,5.295800614355184,4.149392893154044
acoustic,0.11076788011974692,0.02675867310212647,0.011966842408809991,0.08731286899847934,0.1342228912410145,5.334185465820608,4.213232381292142
linguistic+acoustic,0.1343021221360886,0.03605232738856277,0.016123090957580764,0.1027008638592303,0.16590338041294692,5.20120474173324,4.088920531142226
full,0.16822363255509148,0.022480294301243754,0.010053493242356434,0.14851878580007288,0.18792847931011009,5.097926666768548,4.033734462146063
