threshold_type,target_recall,threshold,accuracy_ci_high,accuracy_ci_low,accuracy_mean,auprc_ci_high,auprc_ci_low,auprc_mean,auroc_ci_high,auroc_ci_low,auroc_mean,balanced_accuracy_ci_high,balanced_accuracy_ci_low,balanced_accuracy_mean,f1_ci_high,f1_ci_low,f1_mean,mcc_ci_high,mcc_ci_low,mcc_mean,npv_ci_high,npv_ci_low,npv_mean,precision_at_target_ci_high,precision_at_target_ci_low,precision_at_target_mean,precision_ci_high,precision_ci_low,precision_mean,recall_at_target_ci_high,recall_at_target_ci_low,recall_at_target_mean,sensitivity_ci_high,sensitivity_ci_low,sensitivity_mean,specificity_ci_high,specificity_ci_low,specificity_mean,threshold_ci_high,threshold_ci_low,threshold_mean
baseline_0.50,,0.5,0.8751269035532995,0.833502538071066,0.8543187817258884,0.27535585368334936,0.16906398642571238,0.2197368311600665,0.634704959928207,0.5274006644115329,0.5825417280525074,0.5170152833345807,0.49820337664022135,0.5058636168937877,0.06849510763209393,0.0,0.027283976143987126,0.15637143674614415,-0.02343567676734724,0.061609155428146614,0.8767820773930753,0.8345207956033764,0.8557729333899949,,,,1.0,0.0,0.49325683660546044,,,,0.035725043029259884,0.0,0.014121294031212697,1.0,0.9940119760479041,0.9976059397563627,,,
youdenJ,,0.26889043187809214,0.7898477157360406,0.736015228426396,0.7637807106598984,0.27535585368334936,0.16906398642571238,0.2197368311600665,0.634704959928207,0.5274006644115329,0.5825417280525074,0.6289271144691733,0.5490209124759418,0.5881710321138967,0.35363975155279503,0.23002133142862657,0.2950672863897039,0.22736663193621054,0.08784768787243803,0.1585554263956501,0.9027482736647324,0.8604516613318981,0.8813839166623826,,,,0.32461714659685864,0.1999744897959184,0.2613741817668393,,,,0.4172661870503597,0.2642785714285714,0.34034166965427787,0.8603882074563375,0.811518946520916,0.8360003945735156,,,
max_f1,,0.26889043187809214,0.7898477157360406,0.736015228426396,0.7637807106598984,0.27535585368334936,0.16906398642571238,0.2197368311600665,0.634704959928207,0.5274006644115329,0.5825417280525074,0.6289271144691733,0.5490209124759418,0.5881710321138967,0.35363975155279503,0.23002133142862657,0.2950672863897039,0.22736663193621054,0.08784768787243803,0.1585554263956501,0.9027482736647324,0.8604516613318981,0.8813839166623826,,,,0.32461714659685864,0.1999744897959184,0.2613741817668393,,,,0.4172661870503597,0.2642785714285714,0.34034166965427787,0.8603882074563375,0.811518946520916,0.8360003945735156,,,
recall80_fixed,,0.13875323546669113,0.35126903553299493,0.29441624365482233,0.3225015228426396,0.27535585368334936,0.16906398642571238,0.2197368311600665,0.634704959928207,0.5274006644115329,0.5825417280525074,0.5590598248976923,0.4870476866748294,0.5231318686292252,0.29299863274085436,0.22025599103804291,0.2572732909509327,0.09699841165658629,-0.02134302899348252,0.038553280482827766,0.9217461108895094,0.8347826086956521,0.8789759418276153,,,,0.17744033077877816,0.1282623759724696,0.15319979650656115,,,,0.8695726622989874,0.7412587412587412,0.8062653804525135,0.2682737536974244,0.21119926300543457,0.23999835680593712,,,
recall>=0.80_reselect,0.8,,0.44266497461928933,0.2365482233502538,0.3294446700507614,,,,0.634704959928207,0.5274006644115329,0.5825417280525074,0.5926400589173408,0.4742019888044236,0.5270727103979134,0.3034131067961165,0.22050157565235373,0.2599570763391142,0.13859670890483208,-0.04996979390335862,0.04196810368702266,,,,0.18704191396294303,0.12771323461741527,0.15522087766666964,0.18704191396294303,0.12771323461741527,0.15522087766666964,0.8194444444444444,0.8,0.8059740513149226,0.8194444444444444,0.8,0.8059740513149226,0.38000413223140495,0.14334021469859623,0.24817136948090426,0.16205398169922053,0.12120500089580004,0.14015243319737553
